id,trial,repeats,target_coq_file,project,success,outcome,outcome_detail,post_copy_make_ok,theorem_baseline_ok,theorem_modified,post_make_note,elapsed_seconds,agent_run_seconds,tokens_prompt,tokens_prompt_cache_hit,tokens_prompt_cache_miss,tokens_completion,tokens_total
65,1,10,theories/gridmap.v,fourcolor,1,success,,1,1,0,,231,183,517082,493312,23770,11513,528595
65,2,10,theories/gridmap.v,fourcolor,1,success,,1,1,0,,290,243,823100,799104,23996,15862,838962
65,3,10,theories/gridmap.v,fourcolor,1,success,,1,1,0,,216,169,344928,325760,19168,10111,355039
65,4,10,theories/gridmap.v,fourcolor,1,success,,1,1,0,,313,266,529335,513408,15927,19649,548984
65,5,10,theories/gridmap.v,fourcolor,1,success,,1,1,0,,337,290,1113720,1090304,23416,19724,1133444
65,6,10,theories/gridmap.v,fourcolor,1,success,,1,1,0,,243,197,399565,382464,17101,15446,415011
65,7,10,theories/gridmap.v,fourcolor,1,success,,1,1,0,,279,232,417953,403072,14881,17640,435593
65,8,10,theories/gridmap.v,fourcolor,1,success,,1,1,0,,1176,1130,7112346,7061888,50458,78665,7191011
65,9,10,theories/gridmap.v,fourcolor,1,success,,1,1,0,,407,360,1209859,1180032,29827,20083,1229942
65,10,10,theories/gridmap.v,fourcolor,1,success,,1,1,0,,433,387,1029748,1013504,16244,24954,1054702
124,1,10,backend/Locations.v,compcert,1,success,,1,1,0,,421,333,697179,681472,15707,23455,720634
124,2,10,backend/Locations.v,compcert,1,success,,1,1,0,,476,390,690570,674560,16010,31341,721911
124,3,10,backend/Locations.v,compcert,1,success,,1,1,0,,553,467,1085168,1068544,16624,37818,1122986
124,4,10,backend/Locations.v,compcert,1,success,,1,1,0,,644,557,1390412,1371264,19148,50607,1441019
124,5,10,backend/Locations.v,compcert,1,success,,1,1,0,,637,551,1305651,1289856,15795,45515,1351166
124,6,10,backend/Locations.v,compcert,1,success,,1,1,0,,612,525,1366563,1345024,21539,46350,1412913
124,7,10,backend/Locations.v,compcert,1,success,,1,1,0,,439,353,775700,763776,11924,29612,805312
124,8,10,backend/Locations.v,compcert,1,success,,1,1,0,,778,694,1995676,1970176,25500,56159,2051835
124,9,10,backend/Locations.v,compcert,1,success,,1,1,0,,469,383,807047,795520,11527,32498,839545
124,10,10,backend/Locations.v,compcert,1,success,,1,1,0,,373,287,383989,375808,8181,24638,408627
175,1,10,flocq/IEEE754/Binary.v,compcert,1,success,,1,1,0,,124,93,99839,93440,6399,7365,107204
175,2,10,flocq/IEEE754/Binary.v,compcert,1,success,,1,1,0,,169,138,198333,188544,9789,11067,209400
175,3,10,flocq/IEEE754/Binary.v,compcert,1,success,,1,1,0,,192,162,208363,199552,8811,11996,220359
175,4,10,flocq/IEEE754/Binary.v,compcert,1,success,,1,1,0,,186,154,241197,229760,11437,13041,254238
175,5,10,flocq/IEEE754/Binary.v,compcert,1,success,,1,1,0,,143,112,127761,123520,4241,8332,136093
175,6,10,flocq/IEEE754/Binary.v,compcert,1,success,,1,1,0,,358,327,504290,496768,7522,24155,528445
175,7,10,flocq/IEEE754/Binary.v,compcert,1,success,,1,1,0,,275,245,836762,823168,13594,18240,855002
175,8,10,flocq/IEEE754/Binary.v,compcert,1,success,,1,1,0,,104,73,104097,98688,5409,6409,110506
175,9,10,flocq/IEEE754/Binary.v,compcert,1,success,,1,1,0,,246,216,259782,252416,7366,17107,276889
175,10,10,flocq/IEEE754/Binary.v,compcert,1,success,,1,1,0,,161,131,222671,214784,7887,10466,233137
221,1,10,theories/POrder.v,buchberger,1,success,,1,1,0,,42,29,39854,36864,2990,2092,41946
221,2,10,theories/POrder.v,buchberger,1,success,,1,1,0,,37,24,52510,47744,4766,1469,53979
221,3,10,theories/POrder.v,buchberger,1,success,,1,1,0,,38,26,35516,33536,1980,1750,37266
221,4,10,theories/POrder.v,buchberger,1,success,,1,1,0,,38,26,40560,36352,4208,1533,42093
221,5,10,theories/POrder.v,buchberger,1,success,,1,1,0,,55,43,50280,43392,6888,3337,53617
221,6,10,theories/POrder.v,buchberger,1,success,,1,1,0,,39,27,66253,61312,4941,1480,67733
221,7,10,theories/POrder.v,buchberger,1,success,,1,1,0,,37,24,35136,31232,3904,1688,36824
221,8,10,theories/POrder.v,buchberger,1,success,,1,1,0,,35,22,32238,28160,4078,1340,33578
221,9,10,theories/POrder.v,buchberger,1,success,,1,1,0,,34,21,44383,40320,4063,1360,45743
221,10,10,theories/POrder.v,buchberger,1,success,,1,1,0,,50,38,57245,52480,4765,2714,59959
270,1,10,backend/Unusedglobproof.v,compcert,1,success,,1,1,0,,283,192,476620,462720,13900,13421,490041
270,2,10,backend/Unusedglobproof.v,compcert,1,success,,1,1,0,,312,221,657371,643712,13659,16312,673683
270,3,10,backend/Unusedglobproof.v,compcert,1,success,,1,1,0,,303,212,931248,909824,21424,15457,946705
270,4,10,backend/Unusedglobproof.v,compcert,1,success,,1,1,0,,311,221,841435,822400,19035,14859,856294
270,5,10,backend/Unusedglobproof.v,compcert,1,success,,1,1,0,,261,170,797487,774656,22831,13384,810871
270,6,10,backend/Unusedglobproof.v,compcert,1,success,,1,1,0,,319,227,809892,792960,16932,16064,825956
270,7,10,backend/Unusedglobproof.v,compcert,1,success,,1,1,0,,273,183,884532,866688,17844,11901,896433
270,8,10,backend/Unusedglobproof.v,compcert,1,success,,1,1,0,,300,209,829126,808832,20294,15286,844412
270,9,10,backend/Unusedglobproof.v,compcert,1,success,,1,1,0,,226,135,338253,325632,12621,9286,347539
270,10,10,backend/Unusedglobproof.v,compcert,1,success,,1,1,0,,362,272,926929,909056,17873,18557,945486
432,1,10,orders/semirings.v,math-classes,1,success,,1,1,0,,72,37,51880,47488,4392,1886,53766
432,2,10,orders/semirings.v,math-classes,1,success,,1,1,0,,70,35,66443,61440,5003,1735,68178
