id,trial,repeats,target_coq_file,project,steps,success,outcome,outcome_detail,post_copy_make_ok,theorem_baseline_ok,theorem_modified,post_make_note,elapsed_seconds,agent_run_seconds,tokens_prompt,tokens_prompt_cache_hit,tokens_prompt_cache_miss,tokens_completion,tokens_total
65,1,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,201,145,355047,333440,21607,8542,363589
65,2,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,220,178,589929,562944,26985,12725,602654
65,3,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,591,550,1969852,1934208,35644,34450,2004302
65,4,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,475,433,1470557,1448192,22365,30941,1501498
65,5,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,289,243,567147,549120,18027,14524,581671
65,6,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,293,248,757087,735872,21215,16623,773710
65,7,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,285,240,404113,388480,15633,18273,422386
65,8,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,646,606,3196076,3147520,48556,33808,3229884
65,9,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,294,255,510735,495104,15631,17046,527781
65,10,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,241,188,503616,489856,13760,11291,514907
124,1,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,656,545,1538705,1522048,16657,48610,1587315
124,2,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,331,246,450953,442624,8329,19610,470563
124,3,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,1674,1584,7869002,7844608,24394,134756,8003758
124,4,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,543,454,944067,930560,13507,40950,985017
124,5,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,412,332,360071,353152,6919,27729,387800
124,6,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,419,335,676089,664832,11257,24575,700664
124,7,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,454,358,1219188,1205504,13684,32566,1251754
124,8,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,556,473,743677,730368,13309,46852,790529
124,9,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,541,459,639671,621312,18359,38411,678082
124,10,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,784,703,1308271,1292544,15727,52390,1360661
175,1,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,234,204,280670,272256,8414,14731,295401
175,2,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,117,94,86244,82048,4196,6706,92950
175,3,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,482,459,1394409,1377920,16489,33596,1428005
175,4,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,145,120,126091,115328,10763,8199,134290
175,5,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,104,81,74413,70656,3757,4321,78734
175,6,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,178,155,207689,201856,5833,11429,219118
175,7,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,114,90,73057,68992,4065,6278,79335
175,8,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,129,106,111736,106880,4856,7413,119149
175,9,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,143,116,207353,199168,8185,8180,215533
175,10,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,91,68,56875,53504,3371,4242,61117
221,1,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,52,48,45357,42112,3245,1406,46763
221,2,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,56,51,43874,38912,4962,1715,45589
221,3,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,64,59,59327,54400,4927,2918,62245
221,4,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,47,42,36480,32256,4224,1802,38282
221,5,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,39,35,39640,35456,4184,1193,40833
221,6,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,41,37,43239,40064,3175,1193,44432
221,7,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,42,38,34254,32384,1870,1247,35501
221,8,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,49,45,42910,41088,1822,1826,44736
221,9,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,40,36,42777,37888,4889,1127,43904
221,10,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,43,38,34318,32256,2062,1235,35553
270,1,10,backend/Unusedglobproof.v,compcert,8,1,success,,1,1,0,,371,255,802343,785792,16551,16036,818379
270,2,10,backend/Unusedglobproof.v,compcert,8,1,success,,1,1,0,,351,264,992539,971264,21275,16992,1009531
270,3,10,backend/Unusedglobproof.v,compcert,8,1,success,,1,1,0,,416,327,1131527,1112448,19079,24431,1155958
270,4,10,backend/Unusedglobproof.v,compcert,8,1,success,,1,1,0,,313,223,1046858,1025280,21578,13567,1060425
270,5,10,backend/Unusedglobproof.v,compcert,8,1,success,,1,1,0,,279,186,538599,525568,13031,12232,550831
270,6,10,backend/Unusedglobproof.v,compcert,8,1,success,,1,1,0,,301,207,559500,548608,10892,13848,573348
270,7,10,backend/Unusedglobproof.v,compcert,8,1,success,,1,1,0,,336,241,605417,588544,16873,13872,619289
270,8,10,backend/Unusedglobproof.v,compcert,8,1,success,,1,1,0,,371,287,1009707,985600,24107,19623,1029330
270,9,10,backend/Unusedglobproof.v,compcert,8,1,success,,1,1,0,,388,279,1496050,1472640,23410,24544,1520594
270,10,10,backend/Unusedglobproof.v,compcert,8,1,success,,1,1,0,,250,164,717698,698752,18946,13781,731479
432,1,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,94,59,33716,30976,2740,1595,35311
432,2,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,88,56,34091,30848,3243,2217,36308
432,3,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,79,50,57443,51968,5475,1666,59109
432,4,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,80,52,53980,50176,3804,1763,55743
432,5,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,69,41,28757,26624,2133,971,29728
432,6,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,80,53,42914,40320,2594,1763,44677
432,7,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,73,44,26824,25216,1608,1007,27831
432,8,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,90,62,54886,50816,4070,3383,58269
432,9,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,183,155,226679,220032,6647,10948,237627
432,10,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,178,149,188599,184064,4535,8195,196794
665,1,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,96,76,52348,49536,2812,3197,55545
665,2,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,86,68,36719,34688,2031,3413,40132
665,3,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,77,60,39446,36992,2454,2792,42238
665,4,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,87,71,40901,38144,2757,3838,44739
665,5,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,68,52,33601,29824,3777,2331,35932
665,6,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,75,59,30263,28160,2103,2544,32807
665,7,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,74,56,24132,22912,1220,2374,26506
665,8,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,80,64,46745,42240,4505,3642,50387
665,9,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,73,57,34375,32384,1991,2719,37094
665,10,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,76,60,41990,39424,2566,2478,44468
848,1,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,423,420,1042109,1027456,14653,34989,1077098
848,2,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,141,138,187412,177408,10004,10701,198113
848,3,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,153,150,112281,93952,18329,13589,125870
848,4,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,156,154,161730,153728,8002,12911,174641
848,5,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,105,102,85719,71552,14167,8233,93952
848,6,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,99,96,76742,70272,6470,7492,84234
848,7,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,93,90,78962,66432,12530,7340,86302
848,8,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,114,112,87635,80896,6739,9383,97018
848,9,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,590,587,1421302,1394560,26742,56704,1478006
848,10,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,123,120,174535,166400,8135,8268,182803
978,1,10,misc/util.v,math-classes,0,1,success,,1,1,0,,46,43,24346,22400,1946,1101,25447
978,2,10,misc/util.v,math-classes,0,1,success,,1,1,0,,78,75,114572,107264,7308,3267,117839
978,3,10,misc/util.v,math-classes,0,1,success,,1,1,0,,47,44,48497,42880,5617,1883,50380
978,4,10,misc/util.v,math-classes,0,1,success,,1,1,0,,71,69,98646,93568,5078,3924,102570
978,5,10,misc/util.v,math-classes,0,1,success,,1,1,0,,44,41,38993,36096,2897,1266,40259
978,6,10,misc/util.v,math-classes,0,1,success,,1,1,0,,388,386,956197,946048,10149,28237,984434
978,7,10,misc/util.v,math-classes,0,1,success,,1,1,0,,194,191,338295,333440,4855,13062,351357
978,8,10,misc/util.v,math-classes,0,1,success,,1,1,0,,43,41,32683,31360,1323,1522,34205
978,9,10,misc/util.v,math-classes,0,1,success,,1,1,0,,43,41,33780,31360,2420,1481,35261
978,10,10,misc/util.v,math-classes,0,1,success,,1,1,0,,209,206,542024,535168,6856,13001,555025
1225,1,10,MenhirLib/Interpreter_complete.v,compcert,13,1,success,,1,1,0,,1171,1163,6179989,6130304,49685,98881,6278870
1225,2,10,MenhirLib/Interpreter_complete.v,compcert,13,1,success,,1,1,0,,938,930,5622044,5583872,38172,78893,5700937
1225,3,10,MenhirLib/Interpreter_complete.v,compcert,13,1,success,,1,1,0,,867,859,3686966,3654400,32566,65769,3752735
1225,4,10,MenhirLib/Interpreter_complete.v,compcert,13,1,success,,1,1,0,,1308,1300,10760116,10699392,60724,91552,10851668
1225,5,10,MenhirLib/Interpreter_complete.v,compcert,13,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1809,1802,17811467,17757952,53515,136380,17947847
1225,6,10,MenhirLib/Interpreter_complete.v,compcert,13,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1809,1802,15468824,15413376,55448,160427,15629251
1225,7,10,MenhirLib/Interpreter_complete.v,compcert,13,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1808,1801,18957879,18880896,76983,145911,19103790
1225,8,10,MenhirLib/Interpreter_complete.v,compcert,13,1,success,,1,1,0,,1446,1436,13661568,13608576,52992,138917,13800485
1225,9,10,MenhirLib/Interpreter_complete.v,compcert,13,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1809,1802,12527309,12473984,53325,129964,12657273
1225,10,10,MenhirLib/Interpreter_complete.v,compcert,13,1,success,,1,1,0,,1166,1159,10421658,10366464,55194,97338,10518996
1333,1,10,cfrontend/Cshmgenproof.v,compcert,2,1,success,,1,1,0,,240,98,95866,91904,3962,4529,100395
1333,2,10,cfrontend/Cshmgenproof.v,compcert,2,1,success,,1,1,0,,250,139,252775,247552,5223,7106,259881
1333,3,10,cfrontend/Cshmgenproof.v,compcert,2,1,success,,1,1,0,,211,99,81842,75520,6322,5255,87097
1333,4,10,cfrontend/Cshmgenproof.v,compcert,2,1,success,,1,1,0,,209,98,110199,104704,5495,4973,115172
1333,5,10,cfrontend/Cshmgenproof.v,compcert,2,1,success,,1,1,0,,197,86,57895,54784,3111,3200,61095
1333,6,10,cfrontend/Cshmgenproof.v,compcert,2,1,success,,1,1,0,,210,100,124380,117504,6876,4481,128861
1333,7,10,cfrontend/Cshmgenproof.v,compcert,2,1,success,,1,1,0,,184,76,59145,56064,3081,2355,61500
1333,8,10,cfrontend/Cshmgenproof.v,compcert,2,1,success,,1,1,0,,221,107,85066,82816,2250,5606,90672
1333,9,10,cfrontend/Cshmgenproof.v,compcert,2,1,success,,1,1,0,,205,90,87770,84480,3290,3163,90933
1333,10,10,cfrontend/Cshmgenproof.v,compcert,2,1,success,,1,1,0,,208,90,68791,64128,4663,3051,71842
1355,1,10,x86/SelectOpproof.v,compcert,32,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1922,1802,13909823,13865856,43967,169385,14079208
1355,2,10,x86/SelectOpproof.v,compcert,32,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1901,1802,10661403,10613376,48027,144195,10805598
1355,3,10,x86/SelectOpproof.v,compcert,32,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1890,1802,11070521,11016704,53817,173210,11243731
1355,4,10,x86/SelectOpproof.v,compcert,32,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1915,1802,11150879,11098496,52383,149297,11300176
1355,5,10,x86/SelectOpproof.v,compcert,32,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1891,1802,12385042,12323456,61586,153679,12538721
1355,6,10,x86/SelectOpproof.v,compcert,32,1,success,,1,1,0,,1843,1748,12840383,12784000,56383,145115,12985498
1355,7,10,x86/SelectOpproof.v,compcert,32,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1890,1802,17347109,17284352,62757,173786,17520895
1355,8,10,x86/SelectOpproof.v,compcert,32,1,success,,1,1,0,,1671,1581,12803942,12753024,50918,139153,12943095
1355,9,10,x86/SelectOpproof.v,compcert,32,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1889,1802,13671704,13586560,85144,157809,13829513
1355,10,10,x86/SelectOpproof.v,compcert,32,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1892,1802,13001952,12947072,54880,156024,13157976
1599,1,10,x86/ConstpropOpproof.v,compcert,6,1,success,,1,1,0,,400,228,488553,475264,13289,15136,503689
1599,2,10,x86/ConstpropOpproof.v,compcert,6,1,success,,1,1,0,,438,298,1078003,1052288,25715,20963,1098966
1599,3,10,x86/ConstpropOpproof.v,compcert,6,1,success,,1,1,0,,298,160,548145,527360,20785,8049,556194
1599,4,10,x86/ConstpropOpproof.v,compcert,6,1,success,,1,1,0,,441,298,855715,840448,15267,22025,877740
1599,5,10,x86/ConstpropOpproof.v,compcert,6,1,success,,1,1,0,,336,203,443461,430336,13125,14564,458025
1599,6,10,x86/ConstpropOpproof.v,compcert,6,1,success,,1,1,0,,471,328,1768825,1722880,45945,21512,1790337
1599,7,10,x86/ConstpropOpproof.v,compcert,6,1,success,,1,1,0,,252,121,286248,273664,12584,6239,292487
1599,8,10,x86/ConstpropOpproof.v,compcert,6,1,success,,1,1,0,,756,604,3293704,3266816,26888,41245,3334949
1599,9,10,x86/ConstpropOpproof.v,compcert,6,1,success,,1,1,0,,448,306,1433816,1405952,27864,21462,1455278
1599,10,10,x86/ConstpropOpproof.v,compcert,6,1,success,,1,1,0,,495,357,1096304,1073024,23280,24545,1120849
1703,1,10,backend/Cminortyping.v,compcert,2,1,success,,1,1,0,,800,700,2358410,2346240,12170,53822,2412232
1703,2,10,backend/Cminortyping.v,compcert,2,1,success,,1,1,0,,414,340,587697,580992,6705,24025,611722
1703,3,10,backend/Cminortyping.v,compcert,2,1,success,,1,1,0,,180,105,96312,94208,2104,5787,102099
1703,4,10,backend/Cminortyping.v,compcert,2,1,success,,1,1,0,,204,128,100929,98432,2497,8685,109614
1703,5,10,backend/Cminortyping.v,compcert,2,1,success,,1,1,0,,192,121,88638,86656,1982,7359,95997
1703,6,10,backend/Cminortyping.v,compcert,2,1,success,,1,1,0,,165,85,38276,36480,1796,4289,42565
1703,7,10,backend/Cminortyping.v,compcert,2,1,success,,1,1,0,,232,154,164463,159616,4847,7801,172264
1703,8,10,backend/Cminortyping.v,compcert,2,1,success,,1,1,0,,136,67,39832,38528,1304,3684,43516
1703,9,10,backend/Cminortyping.v,compcert,2,1,success,,1,1,0,,148,80,25783,24832,951,3462,29245
1703,10,10,backend/Cminortyping.v,compcert,2,1,success,,1,1,0,,375,279,507363,502784,4579,23012,530375
1826,1,10,x86/SelectOpproof.v,compcert,2,1,success,,1,1,0,,230,111,174313,161792,12521,5510,179823
1826,2,10,x86/SelectOpproof.v,compcert,2,1,success,,1,1,0,,261,168,507954,493568,14386,9421,517375
1826,3,10,x86/SelectOpproof.v,compcert,2,1,success,,1,1,0,,308,215,472176,454784,17392,15572,487748
1826,4,10,x86/SelectOpproof.v,compcert,2,1,success,,1,1,0,,190,98,176827,166528,10299,4733,181560
1826,5,10,x86/SelectOpproof.v,compcert,2,1,success,,1,1,0,,157,65,63142,55936,7206,2427,65569
1826,6,10,x86/SelectOpproof.v,compcert,2,1,success,,1,1,0,,193,98,127673,118912,8761,5539,133212
1826,7,10,x86/SelectOpproof.v,compcert,2,1,success,,1,1,0,,196,105,191943,181504,10439,5239,197182
1826,8,10,x86/SelectOpproof.v,compcert,2,1,success,,1,1,0,,205,113,229986,221440,8546,5231,235217
1826,9,10,x86/SelectOpproof.v,compcert,2,1,success,,1,1,0,,206,108,158361,146176,12185,5758,164119
1826,10,10,x86/SelectOpproof.v,compcert,2,1,success,,1,1,0,,188,89,120541,112256,8285,3187,123728
1996,1,10,common/Globalenvs.v,compcert,2,1,success,,1,1,0,,144,64,41622,38912,2710,1491,43113
1996,2,10,common/Globalenvs.v,compcert,2,1,success,,1,1,0,,118,56,36571,34688,1883,1388,37959
1996,3,10,common/Globalenvs.v,compcert,2,1,success,,1,1,0,,123,62,42993,40448,2545,2205,45198
1996,4,10,common/Globalenvs.v,compcert,2,1,success,,1,1,0,,112,54,29481,27904,1577,1266,30747
1996,5,10,common/Globalenvs.v,compcert,2,1,success,,1,1,0,,116,56,40260,37248,3012,1354,41614
1996,6,10,common/Globalenvs.v,compcert,2,1,success,,1,1,0,,114,57,40560,39040,1520,1450,42010
1996,7,10,common/Globalenvs.v,compcert,2,1,success,,1,1,0,,138,78,69447,66176,3271,4044,73491
1996,8,10,common/Globalenvs.v,compcert,2,1,success,,1,1,0,,127,70,42960,41088,1872,2511,45471
1996,9,10,common/Globalenvs.v,compcert,2,1,success,,1,1,0,,114,54,30662,29056,1606,1489,32151
1996,10,10,common/Globalenvs.v,compcert,2,1,success,,1,1,0,,114,57,30741,29184,1557,1478,32219
2030,1,10,lib/Integers.v,compcert,2,1,success,,1,1,0,,105,65,52443,49664,2779,1926,54369
2030,2,10,lib/Integers.v,compcert,2,1,success,,1,1,0,,97,60,74485,68224,6261,2223,76708
2030,3,10,lib/Integers.v,compcert,2,1,success,,1,1,0,,81,51,69682,63104,6578,2025,71707
