id,trial,repeats,target_coq_file,project,steps,success,outcome,outcome_detail,post_copy_make_ok,theorem_baseline_ok,theorem_modified,post_make_note,elapsed_seconds,agent_run_seconds,tokens_prompt,tokens_prompt_cache_hit,tokens_prompt_cache_miss,tokens_completion,tokens_total
65,1,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,354,300,690108,671744,18364,23697,713805
65,2,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,506,461,2345247,2305664,39583,34520,2379767
65,3,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,683,641,2903922,2864512,39410,45004,2948926
65,4,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,281,240,554184,529536,24648,16990,571174
65,5,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,269,224,740920,720256,20664,13249,754169
65,6,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,596,554,3426138,3359616,66522,45929,3472067
65,7,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,782,742,5293364,5247616,45748,49199,5342563
65,8,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,619,576,2496089,2454400,41689,48299,2544388
65,9,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,271,228,526802,506368,20434,15387,542189
65,10,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,497,453,1804222,1776384,27838,34692,1838914
124,1,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,803,693,3167019,3146496,20523,56696,3223715
124,2,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,511,424,1244504,1233408,11096,31932,1276436
124,3,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,578,493,1235675,1225600,10075,44216,1279891
124,4,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,435,339,954820,940032,14788,33706,988526
124,5,10,backend/Locations.v,compcert,20,0,verify_make_failed,rc=2,1,1,0,,1151,1060,11127677,11085312,42365,99067,11226744
124,6,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,461,376,770215,760576,9639,34025,804240
124,7,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,1053,967,4896613,4871040,25573,92539,4989152
124,8,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,587,498,1532163,1505152,27011,51333,1583496
124,9,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,1756,1669,13682354,13647104,35250,160054,13842408
124,10,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,430,349,641932,632960,8972,28358,670290
175,1,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,131,100,130115,123904,6211,5921,136036
175,2,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,168,138,212207,203136,9071,9041,221248
175,3,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,176,152,239405,229504,9901,11225,250630
175,4,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,554,528,1242473,1233792,8681,43212,1285685
175,5,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,152,125,110543,106752,3791,7897,118440
175,6,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,116,93,103135,97024,6111,5471,108606
