id,trial,repeats,target_coq_file,project,steps,success,outcome,outcome_detail,post_copy_make_ok,theorem_baseline_ok,theorem_modified,post_make_note,elapsed_seconds,agent_run_seconds,tokens_prompt,tokens_prompt_cache_hit,tokens_prompt_cache_miss,tokens_completion,tokens_total
65,1,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,380,308,713851,697728,16123,22812,736663
65,2,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,258,208,570825,549504,21321,14216,585041
65,3,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,809,756,3243610,3204096,39514,44651,3288261
65,4,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,216,166,233470,220928,12542,12224,245694
65,5,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,294,248,513534,497664,15870,13957,527491
65,6,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,302,258,498132,485248,12884,15289,513421
65,7,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,292,245,469266,451968,17298,15970,485236
65,8,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,582,538,1798308,1761152,37156,39162,1837470
65,9,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,501,455,1874846,1842560,32286,30683,1905529
65,10,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,296,249,672729,655232,17497,16719,689448
124,1,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,645,504,1410780,1388800,21980,46929,1457709
124,2,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,423,320,697339,684800,12539,27389,724728
124,3,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,699,601,1758306,1744384,13922,53043,1811349
124,4,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,385,292,615348,605440,9908,22099,637447
124,5,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,453,346,825262,815360,9902,30500,855762
124,6,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,514,425,783388,772096,11292,36213,819601
124,7,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,671,581,2476429,2456960,19469,49255,2525684
124,8,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,1307,1216,7644226,7609088,35138,103893,7748119
124,9,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,804,715,3375378,3354368,21010,66709,3442087
124,10,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,380,284,532393,524032,8361,27192,559585
175,1,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,273,233,392284,384000,8284,17747,410031
175,2,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,132,106,194185,188160,6025,6480,200665
175,3,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,135,107,172713,163072,9641,7653,180366
175,4,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,116,85,79570,74496,5074,4970,84540
175,5,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,138,108,113489,109056,4433,7857,121346
175,6,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,216,189,265720,258944,6776,14611,280331
175,7,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,357,324,750314,737280,13034,29096,779410
175,8,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,130,102,125692,119808,5884,6458,132150
175,9,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,162,135,172790,167936,4854,9745,182535
175,10,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,128,101,155999,147072,8927,5656,161655
221,1,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,59,53,48734,43648,5086,1569,50303
221,2,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,54,48,33933,29824,4109,938,34871
221,3,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,100,93,63841,58496,5345,7094,70935
221,4,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,42,37,43613,39424,4189,1323,44936
221,5,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,45,40,36284,32128,4156,1970,38254
221,6,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,43,38,44706,40704,4002,1494,46200
221,7,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,43,39,44661,40320,4341,1163,45824
221,8,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,45,40,35495,33792,1703,1620,37115
