id,trial,repeats,target_coq_file,project,steps,success,outcome,outcome_detail,post_copy_make_ok,theorem_baseline_ok,theorem_modified,post_make_note,elapsed_seconds,agent_run_seconds,tokens_prompt,tokens_prompt_cache_hit,tokens_prompt_cache_miss,tokens_completion,tokens_total
2,1,1,theories/Data/Aczel.v,PnVRocqLib,0,1,success,,1,1,0,,99,48,43324,39040,4284,4110,47434
3,1,1,theories/Data/Aczel.v,PnVRocqLib,0,1,success,,1,1,0,,114,54,59484,51968,7516,2508,61992
4,,,,,,0,meta_failed,meta failed rc=2 timed_out=0,,,,,0,,,,,,
5,1,1,theories/Data/Aczel.v,PnVRocqLib,0,1,success,,1,1,0,,162,105,152407,144384,8023,6266,158673
6,1,1,theories/Data/Aczel.v,PnVRocqLib,0,0,theorem_modified,theorem modified,1,1,1,,151,,111426,101120,10306,6583,118009
7,,,,,,0,meta_failed,meta failed rc=2 timed_out=0,,,,,0,,,,,,
8,,,,,,0,meta_failed,meta failed rc=2 timed_out=0,,,,,0,,,,,,
9,1,1,theories/Data/Aczel.v,PnVRocqLib,0,1,success,,1,1,0,,88,33,31309,28800,2509,1453,32762
10,1,1,theories/Logic/BasicFol.v,PnVRocqLib,0,1,success,,1,1,0,,881,836,4727040,4680704,46336,65168,4792208
11,1,1,theories/Logic/BasicFol.v,PnVRocqLib,0,1,success,,1,1,0,,318,245,77742,71808,5934,4182,81924
12,1,1,theories/Logic/BasicFol.v,PnVRocqLib,0,1,success,,1,1,0,,455,374,589095,569088,20007,21755,610850
13,1,1,theories/Logic/BasicFol.v,PnVRocqLib,0,1,success,,1,1,0,,1134,1044,1326571,1304064,22507,50019,1376590
14,1,1,theories/Logic/BasicFol.v,PnVRocqLib,0,1,success,,1,1,0,,300,239,289687,279168,10519,21698,311385
15,1,1,theories/Logic/BasicFol.v,PnVRocqLib,0,1,success,,1,1,0,,71,30,63001,53504,9497,1468,64469
16,1,1,theories/Logic/BasicFol2.v,PnVRocqLib,0,1,success,,1,1,0,,285,135,36373,32640,3733,3103,39476
17,1,1,theories/Logic/BasicFol2.v,PnVRocqLib,0,1,success,,1,1,0,,571,423,317121,298880,18241,10289,327410
18,1,1,theories/Logic/BasicFol2.v,PnVRocqLib,0,1,success,,1,1,0,,960,854,2183194,2148352,34842,53102,2236296
19,1,1,theories/Logic/BasicFol2.v,PnVRocqLib,0,1,success,,1,1,0,,877,771,2145375,2110080,35295,41849,2187224
20,1,1,theories/Logic/BasicFol2.v,PnVRocqLib,0,1,success,,1,1,0,,180,84,121342,112384,8958,6457,127799
21,1,1,theories/Logic/BasicFol2.v,PnVRocqLib,0,1,success,,1,1,0,,592,457,357857,337152,20705,16804,374661
22,1,1,theories/Logic/BasicFol2.v,PnVRocqLib,0,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1919,1800,9071776,9021568,50208,121852,9193628
23,1,1,theories/Logic/BasicFol2.v,PnVRocqLib,0,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1902,1800,7426916,7374848,52068,108023,7534939
24,1,1,theories/Math/BooleanAlgebra.v,PnVRocqLib,0,1,success,,1,1,0,,126,76,187140,175232,11908,5657,192797
25,1,1,theories/Math/BooleanAlgebra.v,PnVRocqLib,0,1,success,,1,1,0,,77,34,60528,56832,3696,1832,62360
26,1,1,theories/Math/BooleanAlgebra.v,PnVRocqLib,0,1,success,,1,1,0,,234,195,780842,764928,15914,17761,798603
27,1,1,theories/Math/BooleanAlgebra.v,PnVRocqLib,0,1,success,,1,1,0,,119,84,255922,244992,10930,6085,262007
28,1,1,theories/Math/BooleanAlgebra.v,PnVRocqLib,0,1,success,,1,1,0,,77,44,73286,64768,8518,3826,77112
29,1,1,theories/Math/ClassicalDomainTheory.v,PnVRocqLib,0,1,success,,1,1,0,,295,253,1128070,1094784,33286,22066,1150136
30,1,1,theories/Math/ClassicalDomainTheory.v,PnVRocqLib,0,1,success,,1,1,0,,409,343,1166713,1129216,37497,11970,1178683
31,1,1,theories/Math/ClassicalDomainTheory.v,PnVRocqLib,0,1,success,,1,1,0,,740,673,1251339,1215488,35851,29461,1280800
32,1,1,theories/Math/ClassicalDomainTheory.v,PnVRocqLib,0,1,success,,1,1,0,,137,74,98154,77824,20330,2390,100544
33,1,1,theories/Math/ClassicalDomainTheory.v,PnVRocqLib,0,1,success,,1,1,0,,575,533,1811521,1766912,44609,33582,1845103
34,1,1,theories/Math/ClassicalDomainTheory.v,PnVRocqLib,0,1,success,,1,1,0,,161,120,516203,489088,27115,9971,526174
35,1,1,theories/Math/ClassicalDomainTheory.v,PnVRocqLib,0,1,success,,1,1,0,,190,157,653731,633600,20131,13345,667076
36,1,1,theories/Prelude/ClassicalFacts.v,PnVRocqLib,0,1,success,,1,1,0,,107,85,121660,116736,4924,6942,128602
37,1,1,theories/Logic/ClassicalPropositionalLogic.v,PnVRocqLib,0,1,success,,1,1,0,,148,77,81743,77824,3919,6650,88393
38,1,1,theories/Logic/ClassicalPropositionalLogic.v,PnVRocqLib,0,1,success,,1,1,0,,110,42,106871,99840,7031,2373,109244
39,1,1,theories/Logic/ClassicalPropositionalLogic.v,PnVRocqLib,0,1,success,,1,1,0,,102,31,33442,29568,3874,2519,35961
40,1,1,theories/Math/DomainTheory.v,PnVRocqLib,0,0,agent_error,[23:08:53 ERR] Run failed: An error occurred while sending the request. System.Net.Http.HttpRequestException: An error occurred while sending the request.  ---> System.Net.Http.HttpIOException: The response ended prem...,1,1,0,,118,,124938,109568,15370,7468,132406
41,1,1,theories/Math/DomainTheory.v,PnVRocqLib,0,1,success,,1,1,0,,117,80,171583,161024,10559,7114,178697
42,1,1,theories/Math/DomainTheory.v,PnVRocqLib,0,1,success,,1,1,0,,232,194,478445,456704,21741,14095,492540
43,1,1,theories/Math/DomainTheory.v,PnVRocqLib,0,1,success,,1,1,0,,618,577,1586390,1561216,25174,49372,1635762
44,1,1,theories/Math/DomainTheory.v,PnVRocqLib,0,1,success,,1,1,0,,154,114,155344,142720,12624,6479,161823
45,1,1,theories/Math/DomainTheory.v,PnVRocqLib,0,1,success,,1,1,0,,146,105,568355,536320,32035,7577,575932
46,1,1,theories/Data/Graph.v,PnVRocqLib,0,1,success,,1,1,0,,709,684,1596245,1582080,14165,70181,1666426
47,1,1,theories/Logic/HilbertFol.v,PnVRocqLib,0,1,success,,1,1,0,,1110,1052,8090469,8029184,61285,100941,8191410
48,1,1,theories/Logic/HilbertFol.v,PnVRocqLib,0,1,success,,1,1,0,,232,137,70337,58368,11969,5239,75576
49,1,1,theories/Logic/HilbertFol.v,PnVRocqLib,0,1,success,,1,1,0,,165,82,57666,52864,4802,1760,59426
50,1,1,theories/Logic/HilbertFol.v,PnVRocqLib,0,1,success,,1,1,0,,114,52,67036,56576,10460,2419,69455
51,1,1,theories/Logic/HilbertFol.v,PnVRocqLib,0,1,success,,1,1,0,,311,255,177978,168320,9658,30064,208042
52,1,1,theories/Logic/HilbertFol.v,PnVRocqLib,0,1,success,,1,1,0,,191,136,117395,112896,4499,16178,133573
53,1,1,theories/Logic/HilbertFol.v,PnVRocqLib,0,1,success,,1,1,0,,327,224,241567,223104,18463,17117,258684
54,1,1,theories/Logic/HilbertFol2.v,PnVRocqLib,0,1,success,,1,1,0,,264,60,127582,117376,10206,4406,131988
55,1,1,theories/Logic/HilbertFol2.v,PnVRocqLib,0,1,success,,1,1,0,,273,63,145103,135552,9551,4770,149873
56,1,1,theories/Logic/HilbertFol2.v,PnVRocqLib,0,1,success,,1,1,0,,756,535,1031220,1008000,23220,39774,1070994
57,1,1,theories/Logic/HilbertFol2.v,PnVRocqLib,0,1,success,,1,1,0,,318,110,310757,290304,20453,9812,320569
58,1,1,theories/Logic/HilbertFol2.v,PnVRocqLib,0,1,success,,1,1,0,,730,512,1929087,1889152,39935,27179,1956266
59,1,1,theories/Logic/HilbertFol2.v,PnVRocqLib,0,1,success,,1,1,0,,252,46,29045,26496,2549,1383,30428
60,1,1,theories/Logic/HilbertFol2.v,PnVRocqLib,0,1,success,,1,1,0,,474,289,777718,755328,22390,12120,789838
61,1,1,theories/Logic/MuRec.v,PnVRocqLib,0,1,success,,1,1,0,,53,25,41786,36352,5434,1402,43188
62,1,1,theories/Math/OrderTheory.v,PnVRocqLib,0,1,success,,1,1,0,,142,119,349458,332928,16530,8313,357771
63,1,1,theories/Math/OrderTheory.v,PnVRocqLib,0,1,success,,1,1,0,,77,52,22311,20864,1447,2718,25029
64,1,1,theories/Math/OrderTheory.v,PnVRocqLib,0,1,success,,1,1,0,,59,38,79719,73728,5991,2358,82077
65,1,1,theories/Math/OrderTheory.v,PnVRocqLib,0,1,success,,1,1,0,,77,55,89489,82560,6929,4198,93687
66,1,1,theories/Math/OrderTheory.v,PnVRocqLib,0,1,success,,1,1,0,,73,55,93078,84992,8086,4987,98065
67,1,1,theories/Math/OrderTheory.v,PnVRocqLib,0,1,success,,1,1,0,,88,69,84667,76288,8379,7078,91745
68,1,1,theories/Prelude/Prelude.v,PnVRocqLib,0,1,success,,1,1,0,,37,21,17516,16384,1132,1365,18881
69,1,1,theories/Prelude/Prelude.v,PnVRocqLib,0,1,success,,1,1,0,,49,34,27785,24320,3465,2785,30570
70,1,1,theories/Prelude/Prelude.v,PnVRocqLib,0,1,success,,1,1,0,,40,27,20776,18944,1832,1854,22630
71,1,1,theories/Logic/PropositionalLogic.v,PnVRocqLib,0,1,success,,1,1,0,,61,27,24079,22272,1807,1535,25614
72,1,1,theories/Logic/PropositionalLogic.v,PnVRocqLib,0,1,success,,1,1,0,,868,835,4009171,3960832,48339,82629,4091800
73,1,1,theories/Prelude/SfLib.v,PnVRocqLib,0,1,success,,1,1,0,,45,29,25188,23936,1252,1415,26603
74,1,1,theories/Prelude/SfLib.v,PnVRocqLib,0,1,success,,1,1,0,,31,16,13984,13184,800,1005,14989
75,1,1,theories/Math/ThN.v,PnVRocqLib,0,1,success,,1,1,0,,245,227,268895,263424,5471,23754,292649
76,1,1,theories/Math/ThN.v,PnVRocqLib,0,1,success,,1,1,0,,122,104,299061,288512,10549,6312,305373
77,1,1,theories/Math/ThN.v,PnVRocqLib,0,1,success,,1,1,0,,385,368,919298,903040,16258,34133,953431
78,1,1,theories/Math/ThN.v,PnVRocqLib,0,1,success,,1,1,0,,105,88,70641,67456,3185,7679,78320
79,1,1,theories/Data/Vector.v,PnVRocqLib,0,1,success,,1,1,0,,331,312,812612,799488,13124,28081,840693
80,1,1,theories/Data/Vector.v,PnVRocqLib,0,1,success,,1,1,0,,80,62,82017,76416,5601,4868,86885
81,1,1,theories/Data/Vector.v,PnVRocqLib,0,1,success,,1,1,0,,88,68,131443,122496,8947,5407,136850
82,1,1,theories/Logic/BasicFol.v,PnVRocqLib,0,1,success,,1,1,0,,219,184,150460,140416,10044,10925,161385
83,1,1,theories/Logic/BasicFol2.v,PnVRocqLib,0,1,success,,1,1,0,,157,94,51147,45696,5451,4647,55794
84,1,1,theories/Logic/BasicFol2.v,PnVRocqLib,0,1,success,,1,1,0,,219,162,293553,281216,12337,10210,303763
85,1,1,theories/Data/Vector.v,PnVRocqLib,0,1,success,,1,1,0,,132,113,119504,113024,6480,11305,130809
86,1,1,theories/Logic/BasicFol.v,PnVRocqLib,0,1,success,,1,1,0,,371,331,455054,436864,18190,13781,468835
87,1,1,theories/Logic/HilbertFol.v,PnVRocqLib,0,1,success,,1,1,0,,190,130,281436,267648,13788,8977,290413
88,1,1,theories/Logic/HilbertFol2.v,PnVRocqLib,0,1,success,,1,1,0,,751,584,2809060,2759808,49252,49406,2858466
89,1,1,theories/Math/DomainTheory.v,PnVRocqLib,0,1,success,,1,1,0,,83,47,66587,61440,5147,3142,69729
90,1,1,theories/Math/OrderTheory.v,PnVRocqLib,0,1,success,,1,1,0,,99,80,132550,123264,9286,7507,140057
91,1,1,theories/Math/OrderTheory.v,PnVRocqLib,0,1,success,,1,1,0,,62,42,81814,75264,6550,3498,85312
92,1,1,theories/Logic/HilbertFol2.v,PnVRocqLib,0,1,success,,1,1,0,,211,46,91090,84352,6738,2648,93738
93,1,1,theories/Data/Aczel.v,PnVRocqLib,0,1,success,,1,1,0,,134,103,211718,203008,8710,8902,220620
94,1,1,theories/Data/Vector.v,PnVRocqLib,0,1,success,,1,1,0,,212,190,333459,322688,10771,17054,350513
95,1,1,theories/Math/ThN.v,PnVRocqLib,0,1,success,,1,1,0,,53,35,76365,69888,6477,2228,78593
96,1,1,theories/Logic/HilbertFol.v,PnVRocqLib,0,1,success,,1,1,0,,129,72,85946,81152,4794,4663,90609
97,1,1,theories/Prelude/ClassicalFacts.v,PnVRocqLib,0,1,success,,1,1,0,,89,71,88679,85504,3175,4821,93500
98,1,1,theories/Prelude/Prelude.v,PnVRocqLib,0,1,success,,1,1,0,,35,20,17532,16384,1148,1015,18547
99,1,1,theories/Logic/BasicFol.v,PnVRocqLib,0,1,success,,1,1,0,,66,43,63912,55168,8744,3715,67627
100,1,1,theories/Logic/HilbertFol.v,PnVRocqLib,0,1,success,,1,1,0,,159,101,155986,145280,10706,5268,161254
101,1,1,theories/Logic/BasicFol.v,PnVRocqLib,0,1,success,,1,1,0,,152,115,118748,109696,9052,4673,123421
