id,trial,repeats,target_coq_file,project,steps,success,outcome,outcome_detail,post_copy_make_ok,theorem_baseline_ok,theorem_modified,post_make_note,elapsed_seconds,agent_run_seconds,tokens_prompt,tokens_prompt_cache_hit,tokens_prompt_cache_miss,tokens_completion,tokens_total
65,1,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,333,294,1212888,1164672,48216,26876,1239764
65,2,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,957,914,1800609,1668736,131873,88625,1889234
65,3,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,908,869,2885536,2764544,120992,93643,2979179
65,4,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,303,264,576298,531712,44586,23085,599383
65,5,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,232,193,719635,667264,52371,19303,738938
65,6,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,318,279,1213442,1163776,49666,23462,1236904
65,7,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,933,894,5668021,5592960,75061,72197,5740218
65,8,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,896,855,8161526,8079872,81654,76198,8237724
65,9,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,251,210,1208659,1157888,50771,21226,1229885
65,10,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,787,746,2975964,2877568,98396,70684,3046648
124,1,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,921,842,2115589,2066048,49541,96879,2212468
124,2,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,421,342,1689857,1642752,47105,39946,1729803
124,3,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,1004,924,6494004,6393856,100148,93884,6587888
124,4,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,1382,1303,2751036,2694272,56764,131929,2882965
124,5,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,509,430,2214161,2164480,49681,47654,2261815
124,6,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,299,216,612575,567552,45023,26214,638789
124,7,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,538,453,1467927,1407616,60311,52034,1519961
124,8,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,425,344,872992,841216,31776,38206,911198
124,9,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,433,351,778714,736000,42714,36712,815426
