id,trial,repeats,target_coq_file,project,steps,success,outcome,outcome_detail,post_copy_make_ok,theorem_baseline_ok,theorem_modified,post_make_note,elapsed_seconds,agent_run_seconds,agent_run_time_no_pre_process,tokens_prompt,tokens_prompt_cache_hit,tokens_prompt_cache_miss,tokens_completion,tokens_total
65,1,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,315,265,238,517128,496640,20488,12775,529903
65,2,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,302,245,221,766774,736384,30390,11783,778557
65,3,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,633,553,530,1254529,1234560,19969,29751,1284280
65,4,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,563,506,487,1864502,1826304,38198,39082,1903584
65,5,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,465,417,398,1090652,1057664,32988,29093,1119745
65,6,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,360,291,268,537187,516480,20707,18766,555953
65,7,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,640,585,565,1799580,1766528,33052,30325,1829905
65,8,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,240,196,181,732344,705280,27064,8526,740870
65,9,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,334,280,264,730810,699008,31802,19213,750023
65,10,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,341,281,265,829496,803328,26168,15387,844883
124,1,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,628,513,482,752981,732672,20309,39235,792216
124,2,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,553,405,381,538351,522368,15983,32068,570419
124,3,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,397,292,270,375182,366208,8974,22002,397184
124,4,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,650,531,506,937901,926464,11437,42391,980292
124,5,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,523,403,375,624296,610432,13864,32060,656356
124,6,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,407,306,286,403866,392320,11546,23784,427650
124,7,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,554,451,431,853882,839168,14714,39342,893224
124,8,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,573,468,444,809645,795264,14381,36614,846259
124,9,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,471,379,361,573751,561536,12215,28205,601956
124,10,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,498,408,389,747998,730880,17118,36763,784761
175,1,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,108,79,69,53689,49024,4665,3509,57198
175,2,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,503,451,438,795314,784000,11314,34251,829565
175,3,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,466,415,400,778477,761472,17005,26898,805375
175,4,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,160,128,118,110897,102272,8625,8134,119031
175,5,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,200,168,159,150211,144768,5443,13259,163470
175,6,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,137,108,98,109718,104576,5142,5522,115240
175,7,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,156,117,107,120419,112640,7779,5883,126302
175,8,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,125,91,80,57770,54016,3754,4438,62208
175,9,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,292,265,254,289829,283520,6309,22125,311954
175,10,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,160,126,115,105173,100480,4693,5921,111094
221,1,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,57,53,48,28828,22912,5916,1478,30306
221,2,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,66,61,55,30308,26240,4068,1218,31526
221,3,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,88,80,73,32009,30592,1417,1314,33323
221,4,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,72,65,60,37297,32768,4529,1588,38885
221,5,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,64,58,54,39038,35968,3070,1420,40458
221,6,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,75,70,65,46595,42368,4227,2061,48656
221,7,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,69,63,56,30897,27008,3889,1031,31928
221,8,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,79,71,64,31088,27136,3952,1348,32436
221,9,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,87,80,73,30917,28544,2373,1403,32320
221,10,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,71,64,58,29988,26112,3876,1027,31015
270,1,10,backend/Unusedglobproof.v,compcert,8,1,success,,1,1,0,,377,251,219,601882,587136,14746,14127,616009
270,2,10,backend/Unusedglobproof.v,compcert,8,1,success,,1,1,0,,455,307,271,683171,668800,14371,17293,700464
270,3,10,backend/Unusedglobproof.v,compcert,8,1,success,,1,1,0,,429,302,278,1070513,1048192,22321,20592,1091105
270,4,10,backend/Unusedglobproof.v,compcert,8,1,success,,1,1,0,,799,681,660,3033406,2989952,43454,51272,3084678
270,5,10,backend/Unusedglobproof.v,compcert,8,1,success,,1,1,0,,340,216,190,362389,349184,13205,13638,376027
270,6,10,backend/Unusedglobproof.v,compcert,8,1,success,,1,1,0,,377,247,220,453041,436224,16817,15445,468486
270,7,10,backend/Unusedglobproof.v,compcert,8,1,success,,1,1,0,,331,228,207,490440,477056,13384,14359,504799
270,8,10,backend/Unusedglobproof.v,compcert,8,1,success,,1,1,0,,322,213,192,409270,395136,14134,13720,422990
270,9,10,backend/Unusedglobproof.v,compcert,8,1,success,,1,1,0,,346,241,218,639875,621696,18179,16400,656275
270,10,10,backend/Unusedglobproof.v,compcert,8,1,success,,1,1,0,,366,239,217,742035,723200,18835,15764,757799
432,1,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,105,73,62,40671,35584,5087,2347,43018
432,2,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,150,98,83,39091,36864,2227,2923,42014
432,3,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,107,71,60,46511,41600,4911,2110,48621
432,4,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,135,96,82,142206,131584,10622,2399,144605
432,5,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,143,94,79,26974,24448,2526,1833,28807
432,6,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,139,92,78,58363,53248,5115,2293,60656
432,7,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,113,75,64,66446,61184,5262,1755,68201
432,8,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,111,72,60,45112,40320,4792,1874,46986
432,9,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,97,65,55,33213,29952,3261,1807,35020
432,10,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,104,69,59,33615,31104,2511,1837,35452
665,1,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,99,80,72,39543,35968,3575,2637,42180
665,2,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,131,99,86,28494,26496,1998,2587,31081
665,3,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,136,112,103,51405,45440,5965,5310,56715
665,4,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,124,101,91,37462,32512,4950,3801,41263
665,5,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,119,92,80,28669,26368,2301,2353,31022
665,6,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,133,99,89,31642,29440,2202,3573,35215
665,7,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,117,90,80,43158,39808,3350,3235,46393
665,8,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,103,82,71,28262,26368,1894,2384,30646
665,9,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,122,99,91,40768,37632,3136,4652,45420
665,10,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,105,83,73,33879,31744,2135,3307,37186
848,1,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,94,91,87,49010,36992,12018,6000,55010
848,2,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,234,229,223,226486,213760,12726,16993,243479
848,3,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,342,338,334,554161,537856,16305,29477,583638
848,4,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,266,261,255,365914,353920,11994,17613,383527
848,5,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,124,121,117,113120,103168,9952,8489,121609
848,6,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,159,156,152,142482,131200,11282,13279,155761
848,7,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,104,101,96,82304,72832,9472,7458,89762
848,8,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,168,164,160,190563,175232,15331,13111,203674
848,9,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,294,290,286,408552,391808,16744,24874,433426
848,10,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,113,109,105,90230,78208,12022,7779,98009
978,1,10,misc/util.v,math-classes,0,1,success,,1,1,0,,134,132,129,121567,114176,7391,9414,130981
978,2,10,misc/util.v,math-classes,0,1,success,,1,1,0,,96,91,87,39643,37120,2523,2598,42241
978,3,10,misc/util.v,math-classes,0,1,success,,1,1,0,,68,65,62,32430,30464,1966,1690,34120
978,4,10,misc/util.v,math-classes,0,1,success,,1,1,0,,52,49,47,16742,14720,2022,915,17657
978,5,10,misc/util.v,math-classes,0,1,success,,1,1,0,,64,61,58,19705,17664,2041,1585,21290
978,6,10,misc/util.v,math-classes,0,1,success,,1,1,0,,95,91,89,48497,44928,3569,3538,52035
