id,trial,repeats,target_coq_file,project,steps,success,outcome,outcome_detail,post_copy_make_ok,theorem_baseline_ok,theorem_modified,post_make_note,elapsed_seconds,agent_run_seconds,tokens_prompt,tokens_prompt_cache_hit,tokens_prompt_cache_miss,tokens_completion,tokens_total
65,1,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,153,113,424424,395008,29416,9234,433658
65,2,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,394,354,949270,897280,51990,20241,969511
65,3,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,278,238,1050093,1008384,41709,19940,1070033
65,4,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,297,256,1153521,1104512,49009,20322,1173843
65,5,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,532,492,1391858,1271552,120306,32805,1424663
65,6,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,478,438,1751918,1722880,29038,46138,1798056
65,7,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,463,423,1836722,1803648,33074,35219,1871941
65,8,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,165,126,595378,562560,32818,9922,605300
65,9,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,296,256,557002,525184,31818,23124,580126
65,10,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,142,102,289779,264320,25459,9631,299410
124,1,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,441,360,1148589,1129984,18605,40472,1189061
124,2,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,1163,1077,6966983,6810752,156231,98759,7065742
124,3,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,518,438,816900,792192,24708,36722,853622
124,4,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,438,357,2058696,2022144,36552,45319,2104015
124,5,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,647,567,3312001,3267200,44801,60420,3372421
124,6,10,backend/Locations.v,compcert,20,0,skip_keyword,backend/Locations.v,1,1,0,,397,316,21836,9728,12108,32159,53995
124,7,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,600,520,2359593,2335872,23721,48991,2408584
124,8,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,858,777,5206666,5175296,31370,79418,5286084
124,9,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,941,861,8165095,8131072,34023,86329,8251424
124,10,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,741,660,2373776,2350336,23440,62942,2436718
175,1,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,188,165,526620,509568,17052,17881,544501
175,2,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,61,39,84686,73600,11086,3923,88609
175,3,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,177,154,556268,539392,16876,18646,574914
175,4,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,69,44,68873,58496,10377,4167,73040
175,5,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,93,68,141018,129664,11354,6789,147807
175,6,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,85,62,126597,114432,12165,5999,132596
175,7,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,110,87,203183,190592,12591,7792,210975
175,8,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,134,111,188780,177152,11628,10569,199349
175,9,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,202,179,276721,262912,13809,17692,294413
175,10,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,104,81,92301,81664,10637,7529,99830
221,1,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,23,19,58190,47872,10318,1294,59484
221,2,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,23,19,69157,58496,10661,1612,70769
221,3,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,21,17,44819,35072,9747,1513,46332
221,4,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,20,16,54763,44288,10475,1270,56033
221,5,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,21,17,54718,44288,10430,1252,55970
221,6,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,30,26,78678,67840,10838,2083,80761
221,7,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,51,46,172286,160384,11902,3409,175695
221,8,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,24,19,77915,67072,10843,1630,79545
221,9,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,26,22,63618,53376,10242,1810,65428
221,10,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,25,21,64985,54272,10713,1753,66738
270,1,10,backend/Unusedglobproof.v,compcert,8,1,success,,1,1,0,,298,212,1502798,1474048,28750,21707,1524505
270,2,10,backend/Unusedglobproof.v,compcert,8,1,success,,1,1,0,,345,259,1012573,979584,32989,22589,1035162
270,3,10,backend/Unusedglobproof.v,compcert,8,1,success,,1,1,0,,333,247,531887,515584,16303,11145,543032
270,4,10,backend/Unusedglobproof.v,compcert,8,1,success,,1,1,0,,383,297,671876,654464,17412,14616,686492
270,5,10,backend/Unusedglobproof.v,compcert,8,1,success,,1,1,0,,308,222,947428,901504,45924,20402,967830
270,6,10,backend/Unusedglobproof.v,compcert,8,1,success,,1,1,0,,304,219,422416,403712,18704,14324,436740
270,7,10,backend/Unusedglobproof.v,compcert,8,1,success,,1,1,0,,308,223,1302185,1277056,25129,20805,1322990
270,8,10,backend/Unusedglobproof.v,compcert,8,1,success,,1,1,0,,205,119,387771,367360,20411,15977,403748
270,9,10,backend/Unusedglobproof.v,compcert,8,1,success,,1,1,0,,371,285,2177401,2151424,25977,24019,2201420
270,10,10,backend/Unusedglobproof.v,compcert,8,1,success,,1,1,0,,257,172,1235281,1203072,32209,18000,1253281
432,1,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,60,33,201944,183168,18776,2817,204761
432,2,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,55,28,75175,65152,10023,2798,77973
432,3,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,47,20,71763,55424,16339,1545,73308
432,4,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,61,32,91079,80768,10311,2938,94017
432,5,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,46,18,62876,46720,16156,1074,63950
432,6,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,49,21,63835,47744,16091,1640,65475
432,7,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,92,65,254646,221184,33462,3757,258403
432,8,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,54,27,82982,73216,9766,1890,84872
432,9,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,48,20,63372,47232,16140,1414,64786
432,10,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,52,25,72021,55808,16213,1685,73706
665,1,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,59,44,107368,91008,16360,3371,110739
665,2,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,104,89,192521,163584,28937,4795,197316
665,3,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,82,67,129561,109312,20249,5580,135141
665,4,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,92,76,163649,144256,19393,3736,167385
665,5,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,46,30,93491,77568,15923,2227,95718
665,6,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,44,29,61281,52736,8545,2169,63450
665,7,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,121,106,361211,333312,27899,8388,369599
665,8,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,93,78,281306,261376,19930,5792,287098
665,9,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,48,33,104936,81536,23400,2305,107241
665,10,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,74,59,137979,103424,34555,4141,142120
848,1,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,1055,1053,3659560,3534848,124712,126495,3786055
848,2,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,283,280,1226539,1190784,35755,38395,1264934
848,3,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,329,326,642267,597632,44635,41919,684186
848,4,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,115,112,195564,164352,31212,12514,208078
848,5,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,112,109,181924,161024,20900,12277,194201
848,6,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,80,77,139789,111616,28173,8496,148285
848,7,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,232,229,469659,432256,37403,22882,492541
848,8,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,160,158,226729,203008,23721,14587,241316
848,9,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,96,93,166236,138496,27740,8464,174700
848,10,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,122,119,331659,299008,32651,10878,342537
978,1,10,misc/util.v,math-classes,0,1,success,,1,1,0,,33,30,84393,75520,8873,2505,86898
978,2,10,misc/util.v,math-classes,0,1,success,,1,1,0,,39,37,93259,83584,9675,3214,96473
978,3,10,misc/util.v,math-classes,0,1,success,,1,1,0,,57,55,81244,64128,17116,4116,85360
978,4,10,misc/util.v,math-classes,0,1,success,,1,1,0,,75,73,247380,226816,20564,7354,254734
978,5,10,misc/util.v,math-classes,0,1,success,,1,1,0,,135,132,149004,137344,11660,5013,154017
978,6,10,misc/util.v,math-classes,0,1,success,,1,1,0,,66,63,76651,67328,9323,3138,79789
978,7,10,misc/util.v,math-classes,0,1,success,,1,1,0,,37,34,130986,119552,11434,3119,134105
978,8,10,misc/util.v,math-classes,0,1,success,,1,1,0,,29,27,64693,54656,10037,2193,66886
978,9,10,misc/util.v,math-classes,0,1,success,,1,1,0,,74,72,127161,116352,10809,4705,131866
978,10,10,misc/util.v,math-classes,0,1,success,,1,1,0,,194,192,1461906,1433856,28050,21213,1483119
1225,1,10,MenhirLib/Interpreter_complete.v,compcert,13,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1809,1802,15408223,15323776,84447,182767,15590990
1225,2,10,MenhirLib/Interpreter_complete.v,compcert,13,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1809,1802,9358853,9307648,51205,177082,9535935
1225,3,10,MenhirLib/Interpreter_complete.v,compcert,13,0,skip_keyword,MenhirLib/Interpreter_complete.v,1,1,0,,829,822,1057074,1019392,37682,84554,1141628
1225,4,10,MenhirLib/Interpreter_complete.v,compcert,13,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1809,1802,20247694,20174976,72718,161399,20409093
1225,5,10,MenhirLib/Interpreter_complete.v,compcert,13,1,success,,1,1,0,,962,953,7083617,7020672,62945,104251,7187868
1225,6,10,MenhirLib/Interpreter_complete.v,compcert,13,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1810,1802,11305395,11241600,63795,180061,11485456
1225,7,10,MenhirLib/Interpreter_complete.v,compcert,13,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1810,1802,14521177,14455680,65497,164595,14685772
1225,8,10,MenhirLib/Interpreter_complete.v,compcert,13,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1811,1802,10794521,10717952,76569,179828,10974349
1225,9,10,MenhirLib/Interpreter_complete.v,compcert,13,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1810,1802,17291007,17228160,62847,173336,17464343
1225,10,10,MenhirLib/Interpreter_complete.v,compcert,13,1,success,,1,1,0,,1210,1201,8483925,8429440,54485,127614,8611539
1333,1,10,cfrontend/Cshmgenproof.v,compcert,2,1,success,,1,1,0,,154,47,143044,131584,11460,3432,146476
1333,2,10,cfrontend/Cshmgenproof.v,compcert,2,1,success,,1,1,0,,421,315,481196,462848,18348,14883,496079
1333,3,10,cfrontend/Cshmgenproof.v,compcert,2,1,success,,1,1,0,,174,68,71809,62208,9601,2368,74177
1333,4,10,cfrontend/Cshmgenproof.v,compcert,2,1,success,,1,1,0,,145,39,91075,80128,10947,3192,94267
1333,5,10,cfrontend/Cshmgenproof.v,compcert,2,1,success,,1,1,0,,152,46,117977,107008,10969,3574,121551
1333,6,10,cfrontend/Cshmgenproof.v,compcert,2,1,success,,1,1,0,,156,51,167561,155392,12169,4246,171807
1333,7,10,cfrontend/Cshmgenproof.v,compcert,2,1,success,,1,1,0,,181,75,200433,189056,11377,7257,207690
1333,8,10,cfrontend/Cshmgenproof.v,compcert,2,1,success,,1,1,0,,188,82,295161,281856,13305,5729,300890
1333,9,10,cfrontend/Cshmgenproof.v,compcert,2,1,success,,1,1,0,,150,45,120939,106368,14571,3431,124370
1333,10,10,cfrontend/Cshmgenproof.v,compcert,2,1,success,,1,1,0,,167,63,170672,159232,11440,5127,175799
1355,1,10,x86/SelectOpproof.v,compcert,32,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1891,1802,19433277,19359616,73661,181276,19614553
1355,2,10,x86/SelectOpproof.v,compcert,32,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1891,1802,16098773,16033536,65237,186001,16284774
1355,3,10,x86/SelectOpproof.v,compcert,32,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1896,1802,16245427,16182912,62515,175209,16420636
1355,4,10,x86/SelectOpproof.v,compcert,32,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1907,1802,19944448,19872896,71552,180719,20125167
1355,5,10,x86/SelectOpproof.v,compcert,32,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1904,1803,9524663,9448576,76087,186500,9711163
1355,6,10,x86/SelectOpproof.v,compcert,32,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1920,1802,16296673,16241920,54753,191852,16488525
1355,7,10,x86/SelectOpproof.v,compcert,32,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1894,1802,9827010,9777664,49346,193069,10020079
1355,8,10,x86/SelectOpproof.v,compcert,32,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1898,1802,19095047,19026048,68999,185961,19281008
1355,9,10,x86/SelectOpproof.v,compcert,32,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1899,1802,13373090,13306880,66210,188585,13561675
1355,10,10,x86/SelectOpproof.v,compcert,32,0,skip_keyword,x86/SelectOpproof.v,1,1,0,,1157,1046,3996930,3949568,47362,114082,4111012
