id,trial,repeats,target_coq_file,project,steps,success,outcome,outcome_detail,post_copy_make_ok,theorem_baseline_ok,theorem_modified,post_make_note,elapsed_seconds,agent_run_seconds,tokens_prompt,tokens_prompt_cache_hit,tokens_prompt_cache_miss,tokens_completion,tokens_total
65,1,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,201,163,481675,429312,52363,9559,491234
65,2,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,139,100,248161,207232,40929,5972,254133
65,3,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,586,548,3854410,3715200,139210,33129,3887539
65,4,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,194,156,708125,659200,48925,8378,716503
65,5,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,211,173,423992,387712,36280,8763,432755
65,6,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,260,222,1183146,1118976,64170,12807,1195953
65,7,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,402,364,2381387,2290432,90955,20829,2402216
65,8,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,291,253,973415,884992,88423,17501,990916
65,9,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,385,347,1677066,1552384,124682,19248,1696314
65,10,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,337,299,1841254,1649664,191590,17051,1858305
124,1,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,435,362,952600,873472,79128,23311,975911
124,2,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,327,251,506110,443136,62974,16671,522781
124,3,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,326,249,495968,436992,58976,16704,512672
124,4,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,299,223,442049,406016,36033,14412,456461
124,5,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,322,245,598847,544768,54079,15364,614211
124,6,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,536,460,1683473,1575168,108305,25767,1709240
124,7,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,293,217,443556,399488,44068,13912,457468
124,8,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,333,256,607441,535552,71889,15730,623171
124,9,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,352,275,885489,789760,95729,16828,902317
124,10,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,288,212,484177,455552,28625,14248,498425
175,1,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,198,176,389130,342528,46602,11319,400449
175,2,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,203,181,445323,362240,83083,9267,454590
