id,trial,repeats,target_coq_file,project,steps,success,outcome,outcome_detail,post_copy_make_ok,theorem_baseline_ok,theorem_modified,post_make_note,elapsed_seconds,agent_run_seconds,tokens_prompt,tokens_prompt_cache_hit,tokens_prompt_cache_miss,tokens_completion,tokens_total
65,1,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,253,213,475641.0,403456.0,72185,14174.0,489815.0
65,2,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,283,245,384186.0,348160.0,36026,21767.0,405953.0
65,3,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,397,358,851810.0,752640.0,99170,34522.0,886332.0
65,4,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,188,150,223945.0,190464.0,33481,11534.0,235479.0
65,5,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,421,382,1213056.0,1108480.0,104576,31492.0,1244548.0
65,6,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,583,545,1515675.0,1403392.0,112283,50440.0,1566115.0
65,7,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,354,316,1021131.0,957440.0,63691,26547.0,1047678.0
65,8,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,271,233,590227.0,529920.0,60307,15984.0,606211.0
65,9,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,275,238,649672.0,570368.0,79304,18099.0,667771.0
65,10,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,637,598,1960699.0,1832960.0,127739,56960.0,2017659.0
124,1,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,357,277,360791.0,301056.0,59735,22060.0,382851.0
124,2,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,289,212,145412.0,100864.0,44548,19031.0,164443.0
124,3,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,383,306,282855.0,243712.0,39143,29532.0,312387.0
124,4,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,343,266,319272.0,265216.0,54056,24477.0,343749.0
124,5,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,303,224,230859.0,195072.0,35787,19741.0,250600.0
124,6,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,340,262,165875.0,142336.0,23539,26092.0,191967.0
124,7,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,298,221,148959.0,126464.0,22495,20414.0,169373.0
124,8,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,535,458,525305.0,474112.0,51193,48215.0,573520.0
124,9,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,378,300,315747.0,262144.0,53603,31145.0,346892.0
124,10,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,381,304,252121.0,201216.0,50905,29215.0,281336.0
175,1,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,133,111,81559.0,47616.0,33943,8151.0,89710.0
175,2,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,91,70,46752.0,26624.0,20128,3773.0,50525.0
175,3,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,123,101,52240.0,36864.0,15376,6288.0,58528.0
175,4,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,131,109,41034.0,24576.0,16458,8396.0,49430.0
175,5,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,90,68,37408.0,29696.0,7712,2812.0,40220.0
175,6,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,118,96,74319.0,57344.0,16975,5184.0,79503.0
175,7,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,140,118,62809.0,51200.0,11609,10067.0,72876.0
175,8,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,107,86,74165.0,61952.0,12213,5173.0,79338.0
175,9,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,186,164,131569.0,117248.0,14321,13229.0,144798.0
175,10,10,flocq/IEEE754/Binary.v,compcert,24,1,success,,1,1,0,,144,122,124045.0,99328.0,24717,9337.0,133382.0
221,1,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,50,46,28022.0,19456.0,8566,724.0,28746.0
221,2,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,49,45,29000.0,15872.0,13128,923.0,29923.0
221,3,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,48,44,28005.0,22016.0,5989,755.0,28760.0
221,4,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,47,44,39905.0,22016.0,17889,864.0,40769.0
221,5,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,50,46,28467.0,17920.0,10547,762.0,29229.0
221,6,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,53,49,43064.0,28160.0,14904,1077.0,44141.0
221,7,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,51,47,40268.0,22016.0,18252,922.0,41190.0
221,8,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,49,45,27149.0,16896.0,10253,659.0,27808.0
221,9,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,47,43,40036.0,26624.0,13412,880.0,40916.0
221,10,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,51,47,29363.0,17408.0,11955,1442.0,30805.0
270,1,10,backend/Unusedglobproof.v,compcert,8,1,success,,1,1,0,,227,143,247857.0,197632.0,50225,9097.0,256954.0
270,2,10,backend/Unusedglobproof.v,compcert,8,1,success,,1,1,0,,320,238,368857.0,309760.0,59097,20396.0,389253.0
270,3,10,backend/Unusedglobproof.v,compcert,8,1,success,,1,1,0,,271,187,287060.0,263680.0,23380,14899.0,301959.0
270,4,10,backend/Unusedglobproof.v,compcert,8,1,success,,1,1,0,,265,183,382617.0,349184.0,33433,15632.0,398249.0
270,5,10,backend/Unusedglobproof.v,compcert,8,1,success,,1,1,0,,236,153,345086.0,288256.0,56830,11370.0,356456.0
270,6,10,backend/Unusedglobproof.v,compcert,8,1,success,,1,1,0,,183,102,155687.0,137216.0,18471,4266.0,159953.0
270,7,10,backend/Unusedglobproof.v,compcert,8,1,success,,1,1,0,,264,183,458130.0,371200.0,86930,13681.0,471811.0
270,8,10,backend/Unusedglobproof.v,compcert,8,1,success,,1,1,0,,310,228,425297.0,378368.0,46929,19287.0,444584.0
270,9,10,backend/Unusedglobproof.v,compcert,8,1,success,,1,1,0,,250,166,495971.0,404480.0,91491,10621.0,506592.0
270,10,10,backend/Unusedglobproof.v,compcert,8,1,success,,1,1,0,,231,149,300382.0,250880.0,49502,10257.0,310639.0
432,1,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,83,56,28274.0,19456.0,8818,1240.0,29514.0
432,2,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,86,60,40512.0,27136.0,13376,1382.0,41894.0
432,3,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,77,51,28679.0,21504.0,7175,1022.0,29701.0
432,4,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,103,77,71371.0,47616.0,23755,2056.0,73427.0
432,5,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,92,65,48822.0,40960.0,7862,2554.0,51376.0
432,6,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,76,50,27544.0,20992.0,6552,1029.0,28573.0
432,7,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,81,55,26525.0,23040.0,3485,1033.0,27558.0
432,8,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,88,62,34857.0,22016.0,12841,1314.0,36171.0
432,9,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,88,62,52704.0,40448.0,12256,2157.0,54861.0
432,10,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,76,51,21911.0,15872.0,6039,858.0,22769.0
665,1,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,82,66,45508.0,34816.0,10692,2656.0,48164.0
665,2,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,71,57,19424.0,14848.0,4576,1587.0,21011.0
665,3,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,72,57,27367.0,14336.0,13031,1938.0,29305.0
665,4,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,86,72,38824.0,30720.0,8104,2691.0,41515.0
665,5,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,74,60,30143.0,23040.0,7103,2547.0,32690.0
665,6,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,72,57,28041.0,22016.0,6025,1785.0,29826.0
665,7,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,80,65,34479.0,27648.0,6831,2607.0,37086.0
665,8,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,75,60,28402.0,15360.0,13042,1893.0,30295.0
665,9,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,69,55,23283.0,16896.0,6387,1202.0,24485.0
665,10,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,77,63,33094.0,22016.0,11078,2040.0,35134.0
848,1,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,60,57,39076.0,29696.0,9380,2393.0,41469.0
848,2,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,58,55,36335.0,15360.0,20975,2363.0,38698.0
848,3,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,76,74,72522.0,39936.0,32586,3433.0,75955.0
848,4,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,109,107,114150.0,86528.0,27622,6627.0,120777.0
848,5,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,58,55,39135.0,23040.0,16095,2494.0,41629.0
848,6,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,77,74,66883.0,54272.0,12611,4675.0,71558.0
848,7,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,120,117,64935.0,41984.0,22951,10072.0,75007.0
848,8,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,60,58,43309.0,24576.0,18733,2663.0,45972.0
848,9,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,68,65,52657.0,30208.0,22449,3546.0,56203.0
848,10,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,90,87,78884.0,66560.0,12324,5641.0,84525.0
978,1,10,misc/util.v,math-classes,0,1,success,,1,1,0,,52,50,22173.0,11776.0,10397,1119.0,23292.0
978,2,10,misc/util.v,math-classes,0,1,success,,1,1,0,,56,54,26997.0,11264.0,15733,1453.0,28450.0
978,3,10,misc/util.v,math-classes,0,1,success,,1,1,0,,52,49,15768.0,9728.0,6040,1898.0,17666.0
978,4,10,misc/util.v,math-classes,0,1,success,,1,1,0,,53,51,21268.0,11264.0,10004,1427.0,22695.0
978,5,10,misc/util.v,math-classes,0,1,success,,1,1,0,,65,62,18788.0,10240.0,8548,2881.0,21669.0
978,6,10,misc/util.v,math-classes,0,1,success,,1,1,0,,49,47,15292.0,5632.0,9660,1385.0,16677.0
978,7,10,misc/util.v,math-classes,0,1,success,,1,1,0,,45,43,16887.0,12800.0,4087,940.0,17827.0
978,8,10,misc/util.v,math-classes,0,1,success,,1,1,0,,50,47,18303.0,8192.0,10111,1169.0,19472.0
978,9,10,misc/util.v,math-classes,0,1,success,,1,1,0,,55,53,19217.0,9216.0,10001,1062.0,20279.0
978,10,10,misc/util.v,math-classes,0,1,success,,1,1,0,,49,47,16681.0,9728.0,6953,911.0,17592.0
1225,1,10,MenhirLib/Interpreter_complete.v,compcert,13,1,success,,1,1,0,,483,476,1030926.0,931840.0,99086,51866.0,1082792.0
1225,2,10,MenhirLib/Interpreter_complete.v,compcert,13,1,success,,1,1,0,,551,544,966468.0,884736.0,81732,64700.0,1031168.0
1225,3,10,MenhirLib/Interpreter_complete.v,compcert,13,1,success,,1,1,0,,403,396,776989.0,699904.0,77085,45636.0,822625.0
1225,4,10,MenhirLib/Interpreter_complete.v,compcert,13,1,success,,1,1,0,,202,195,309254.0,271360.0,37894,20640.0,329894.0
1225,5,10,MenhirLib/Interpreter_complete.v,compcert,13,1,success,,1,1,0,,432,425,866325.0,786432.0,79893,45113.0,911438.0
1225,6,10,MenhirLib/Interpreter_complete.v,compcert,13,1,success,,1,1,0,,195,188,304590.0,250368.0,54222,18927.0,323517.0
1225,7,10,MenhirLib/Interpreter_complete.v,compcert,13,1,success,,1,1,0,,399,392,625252.0,555520.0,69732,43790.0,669042.0
1225,8,10,MenhirLib/Interpreter_complete.v,compcert,13,0,skip_keyword,MenhirLib/Interpreter_complete.v,1,1,0,,432,425,383518.0,285184.0,98334,40761.0,424279.0
1225,9,10,MenhirLib/Interpreter_complete.v,compcert,13,1,success,,1,1,0,,233,226,430462.0,356864.0,73598,25315.0,455777.0
1225,10,10,MenhirLib/Interpreter_complete.v,compcert,13,1,success,,1,1,0,,440,433,849093.0,800768.0,48325,45114.0,894207.0
1333,1,10,cfrontend/Cshmgenproof.v,compcert,2,1,success,,1,1,0,,189,87,76845.0,57344.0,19501,2815.0,79660.0
1333,2,10,cfrontend/Cshmgenproof.v,compcert,2,1,success,,1,1,0,,195,94,144031.0,103424.0,40607,3303.0,147334.0
1333,3,10,cfrontend/Cshmgenproof.v,compcert,2,1,success,,1,1,0,,227,127,128658.0,107520.0,21138,6959.0,135617.0
1333,4,10,cfrontend/Cshmgenproof.v,compcert,2,1,success,,1,1,0,,251,149,271831.0,217088.0,54743,8970.0,280801.0
1333,5,10,cfrontend/Cshmgenproof.v,compcert,2,1,success,,1,1,0,,196,92,97116.0,70144.0,26972,2434.0,99550.0
1333,6,10,cfrontend/Cshmgenproof.v,compcert,2,1,success,,1,1,0,,193,92,115224.0,97280.0,17944,2775.0,117999.0
1333,7,10,cfrontend/Cshmgenproof.v,compcert,2,1,success,,1,1,0,,237,135,212928.0,175616.0,37312,7037.0,219965.0
1333,8,10,cfrontend/Cshmgenproof.v,compcert,2,1,success,,1,1,0,,201,99,115044.0,88576.0,26468,3858.0,118902.0
1333,9,10,cfrontend/Cshmgenproof.v,compcert,2,1,success,,1,1,0,,191,91,105192.0,89600.0,15592,3395.0,108587.0
1333,10,10,cfrontend/Cshmgenproof.v,compcert,2,1,success,,1,1,0,,194,92,83114.0,67584.0,15530,2254.0,85368.0
1355,1,10,x86/SelectOpproof.v,compcert,32,1,success,,1,1,0,,1210,1123,2254536.0,2109952.0,144584,140469.0,2395005.0
1355,2,10,x86/SelectOpproof.v,compcert,32,1,success,,1,1,0,,1127,1041,4152521.0,3950592.0,201929,125641.0,4278162.0
1355,3,10,x86/SelectOpproof.v,compcert,32,1,success,,1,1,0,,931,846,2387028.0,2240000.0,147028,99862.0,2486890.0
1355,4,10,x86/SelectOpproof.v,compcert,32,1,success,,1,1,0,,1393,1308,8814936.0,8510464.0,304472,155334.0,8970270.0
1355,5,10,x86/SelectOpproof.v,compcert,32,1,success,,1,1,0,,1273,1186,4732855.0,4531712.0,201143,137836.0,4870691.0
1355,6,10,x86/SelectOpproof.v,compcert,32,1,success,,1,1,0,,733,649,1630717.0,1525248.0,105469,78205.0,1708922.0
1355,7,10,x86/SelectOpproof.v,compcert,32,1,success,,1,1,0,,954,870,2799881.0,2643456.0,156425,101260.0,2901141.0
1355,8,10,x86/SelectOpproof.v,compcert,32,1,success,,1,1,0,,721,636,1298231.0,1191424.0,106807,78906.0,1377137.0
1355,9,10,x86/SelectOpproof.v,compcert,32,1,success,,1,1,0,,691,607,2420207.0,2229248.0,190959,68756.0,2488963.0
1355,10,10,x86/SelectOpproof.v,compcert,32,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1884,1802,5671364.0,5413376.0,257988,227094.0,5898458.0
1599,1,10,x86/ConstpropOpproof.v,compcert,6,1,success,,1,1,0,,258,130,336840.0,270848.0,65992,8524.0,345364.0
1599,2,10,x86/ConstpropOpproof.v,compcert,6,1,success,,1,1,0,,312,183,747106.0,669184.0,77922,12638.0,759744.0
1599,3,10,x86/ConstpropOpproof.v,compcert,6,1,success,,1,1,0,,300,170,423525.0,356352.0,67173,9577.0,433102.0
1599,4,10,x86/ConstpropOpproof.v,compcert,6,1,success,,1,1,0,,246,117,327760.0,299520.0,28240,5420.0,333180.0
1599,5,10,x86/ConstpropOpproof.v,compcert,6,1,success,,1,1,0,,255,129,363032.0,292352.0,70680,7761.0,370793.0
1599,6,10,x86/ConstpropOpproof.v,compcert,6,1,success,,1,1,0,,270,143,413482.0,376832.0,36650,10134.0,423616.0
1599,7,10,x86/ConstpropOpproof.v,compcert,6,1,success,,1,1,0,,289,160,489959.0,454144.0,35815,10760.0,500719.0
1599,8,10,x86/ConstpropOpproof.v,compcert,6,1,success,,1,1,0,,258,133,437609.0,388096.0,49513,7910.0,445519.0
1599,9,10,x86/ConstpropOpproof.v,compcert,6,1,success,,1,1,0,,250,122,378988.0,315904.0,63084,7193.0,386181.0
1599,10,10,x86/ConstpropOpproof.v,compcert,6,1,success,,1,1,0,,254,127,347556.0,276480.0,71076,8654.0,356210.0
1703,1,10,backend/Cminortyping.v,compcert,2,1,success,,1,1,0,,194,127,100060.0,87552.0,12508,6537.0,106597.0
1703,2,10,backend/Cminortyping.v,compcert,2,1,success,,1,1,0,,178,112,113637.0,99840.0,13797,5642.0,119279.0
1703,3,10,backend/Cminortyping.v,compcert,2,1,success,,1,1,0,,164,96,48185.0,40960.0,7225,4158.0,52343.0
1703,4,10,backend/Cminortyping.v,compcert,2,1,success,,1,1,0,,134,67,20701.0,15360.0,5341,1742.0,22443.0
1703,5,10,backend/Cminortyping.v,compcert,2,1,success,,1,1,0,,179,111,88398.0,77312.0,11086,5850.0,94248.0
1703,6,10,backend/Cminortyping.v,compcert,2,1,success,,1,1,0,,418,350,441063.0,385536.0,55527,29991.0,471054.0
1703,7,10,backend/Cminortyping.v,compcert,2,1,success,,1,1,0,,139,70,29936.0,23040.0,6896,1788.0,31724.0
1703,8,10,backend/Cminortyping.v,compcert,2,1,success,,1,1,0,,139,72,34822.0,26112.0,8710,2227.0,37049.0
1703,9,10,backend/Cminortyping.v,compcert,2,1,success,,1,1,0,,143,75,74159.0,52736.0,21423,2177.0,76336.0
1703,10,10,backend/Cminortyping.v,compcert,2,1,success,,1,1,0,,162,94,49365.0,40448.0,8917,4167.0,53532.0
1826,1,10,x86/SelectOpproof.v,compcert,2,1,success,,1,1,0,,161,77,93778.0,67584.0,26194,1721.0,95499.0
1826,2,10,x86/SelectOpproof.v,compcert,2,1,success,,1,1,0,,186,102,192262.0,167936.0,24326,4200.0,196462.0
1826,3,10,x86/SelectOpproof.v,compcert,2,1,success,,1,1,0,,169,86,127414.0,83968.0,43446,2730.0,130144.0
1826,4,10,x86/SelectOpproof.v,compcert,2,1,success,,1,1,0,,182,95,98916.0,69120.0,29796,3871.0,102787.0
1826,5,10,x86/SelectOpproof.v,compcert,2,1,success,,1,1,0,,174,89,98732.0,65536.0,33196,2368.0,101100.0
1826,6,10,x86/SelectOpproof.v,compcert,2,1,success,,1,1,0,,177,91,105292.0,87552.0,17740,3275.0,108567.0
1826,7,10,x86/SelectOpproof.v,compcert,2,1,success,,1,1,0,,163,80,76819.0,64512.0,12307,1794.0,78613.0
1826,8,10,x86/SelectOpproof.v,compcert,2,1,success,,1,1,0,,189,102,139470.0,120832.0,18638,3987.0,143457.0
1826,9,10,x86/SelectOpproof.v,compcert,2,1,success,,1,1,0,,160,75,83366.0,71168.0,12198,1663.0,85029.0
1826,10,10,x86/SelectOpproof.v,compcert,2,1,success,,1,1,0,,171,86,86314.0,73728.0,12586,2330.0,88644.0
1996,1,10,common/Globalenvs.v,compcert,2,1,success,,1,1,0,,109,56,26877.0,18432.0,8445,637.0,27514.0
