id,trial,repeats,target_coq_file,project,steps,success,outcome,outcome_detail,post_copy_make_ok,theorem_baseline_ok,theorem_modified,post_make_note,elapsed_seconds,agent_run_seconds,tokens_prompt,tokens_prompt_cache_hit,tokens_prompt_cache_miss,tokens_completion,tokens_total
2,1,10,src/examples/am_gm_list.v,parcas,3,1,success,,1,1,0,,35,34,223953,200064,23889,3185,227138
2,2,10,src/examples/am_gm_list.v,parcas,3,1,success,,1,1,0,,31,29,153366,130048,23318,2590,155956
2,3,10,src/examples/am_gm_list.v,parcas,3,1,success,,1,1,0,,39,37,203824,180224,23600,3071,206895
2,4,10,src/examples/am_gm_list.v,parcas,3,1,success,,1,1,0,,37,36,203951,179072,24879,3167,207118
2,5,10,src/examples/am_gm_list.v,parcas,3,1,success,,1,1,0,,58,57,376998,353024,23974,5243,382241
2,6,10,src/examples/am_gm_list.v,parcas,3,1,success,,1,1,0,,27,26,178067,154624,23443,2709,180776
2,7,10,src/examples/am_gm_list.v,parcas,3,1,success,,1,1,0,,102,100,222878,199296,23582,2636,225514
2,8,10,src/examples/am_gm_list.v,parcas,3,1,success,,1,1,0,,28,27,177415,154112,23303,3110,180525
2,9,10,src/examples/am_gm_list.v,parcas,3,1,success,,1,1,0,,36,35,202899,177664,25235,3571,206470
2,10,10,src/examples/am_gm_list.v,parcas,3,1,success,,1,1,0,,27,26,179346,156416,22930,3005,182351
4,1,10,src/examples/am_gm_list.v,parcas,9,1,success,,1,1,0,,53,51,196886,170240,26646,4964,201850
4,2,10,src/examples/am_gm_list.v,parcas,9,1,success,,1,1,0,,104,102,941259,903552,37707,8887,950146
4,3,10,src/examples/am_gm_list.v,parcas,9,1,success,,1,1,0,,159,158,1741353,1707776,33577,12331,1753684
4,4,10,src/examples/am_gm_list.v,parcas,9,1,success,,1,1,0,,95,94,642735,610944,31791,8855,651590
4,5,10,src/examples/am_gm_list.v,parcas,9,1,success,,1,1,0,,90,88,722563,690048,32515,8351,730914
4,6,10,src/examples/am_gm_list.v,parcas,9,1,success,,1,1,0,,102,100,495592,432640,62952,10608,506200
