id,trial,repeats,target_coq_file,project,steps,success,outcome,outcome_detail,post_copy_make_ok,theorem_baseline_ok,theorem_modified,post_make_note,elapsed_seconds,agent_run_seconds,tokens_prompt,tokens_prompt_cache_hit,tokens_prompt_cache_miss,tokens_completion,tokens_total
2,1,10,src/examples/am_gm_list.v,parcas,3,1,success,,1,1,0,,29,28,17277,16128,1149,865,18142
2,2,10,src/examples/am_gm_list.v,parcas,3,1,success,,1,1,0,,26,25,17438,15488,1950,787,18225
2,3,10,src/examples/am_gm_list.v,parcas,3,1,success,,1,1,0,,34,33,32142,30080,2062,1631,33773
2,4,10,src/examples/am_gm_list.v,parcas,3,1,success,,1,1,0,,24,23,13400,12288,1112,682,14082
2,5,10,src/examples/am_gm_list.v,parcas,3,1,success,,1,1,0,,24,23,17080,16000,1080,777,17857
2,6,10,src/examples/am_gm_list.v,parcas,3,1,success,,1,1,0,,24,23,17369,16256,1113,712,18081
2,7,10,src/examples/am_gm_list.v,parcas,3,1,success,,1,1,0,,28,27,21918,20608,1310,1155,23073
2,8,10,src/examples/am_gm_list.v,parcas,3,1,success,,1,1,0,,32,31,22721,20608,2113,771,23492
2,9,10,src/examples/am_gm_list.v,parcas,3,1,success,,1,1,0,,34,33,21301,19968,1333,831,22132
2,10,10,src/examples/am_gm_list.v,parcas,3,1,success,,1,1,0,,38,36,29474,27136,2338,1197,30671
4,1,10,src/examples/am_gm_list.v,parcas,9,1,success,,1,1,0,,79,78,228580,219520,9060,4226,232806
4,2,10,src/examples/am_gm_list.v,parcas,9,1,success,,1,1,0,,98,97,398937,380288,18649,5891,404828
4,3,10,src/examples/am_gm_list.v,parcas,9,1,success,,1,1,0,,95,94,216578,207104,9474,6208,222786
4,4,10,src/examples/am_gm_list.v,parcas,9,1,success,,1,1,0,,83,82,380929,365568,15361,4459,385388
4,5,10,src/examples/am_gm_list.v,parcas,9,1,success,,1,1,0,,67,66,173905,166784,7121,3621,177526
4,6,10,src/examples/am_gm_list.v,parcas,9,1,success,,1,1,0,,77,75,129794,122880,6914,4353,134147
4,7,10,src/examples/am_gm_list.v,parcas,9,1,success,,1,1,0,,111,110,424446,412160,12286,6333,430779
4,8,10,src/examples/am_gm_list.v,parcas,9,1,success,,1,1,0,,73,72,227595,216064,11531,3767,231362
4,9,10,src/examples/am_gm_list.v,parcas,9,1,success,,1,1,0,,57,56,88712,81920,6792,2940,91652
4,10,10,src/examples/am_gm_list.v,parcas,9,1,success,,1,1,0,,86,84,322464,308736,13728,5014,327478
19,1,10,src/examples/am_gm_list.v,parcas,45,1,success,,1,1,0,,89,84,82108,74880,7228,6825,88933
19,2,10,src/examples/am_gm_list.v,parcas,45,1,success,,1,1,0,,114,109,150202,141824,8378,9380,159582
19,3,10,src/examples/am_gm_list.v,parcas,45,1,success,,1,1,0,,163,158,256950,245504,11446,10821,267771
19,4,10,src/examples/am_gm_list.v,parcas,45,1,success,,1,1,0,,175,170,224552,212608,11944,13473,238025
19,5,10,src/examples/am_gm_list.v,parcas,45,1,success,,1,1,0,,251,246,348826,337152,11674,20118,368944
19,6,10,src/examples/am_gm_list.v,parcas,45,1,success,,1,1,0,,109,103,137071,128512,8559,7233,144304
19,7,10,src/examples/am_gm_list.v,parcas,45,1,success,,1,1,0,,298,291,352710,335872,16838,25370,378080
19,8,10,src/examples/am_gm_list.v,parcas,45,1,success,,1,1,0,,136,131,186437,177664,8773,9152,195589
19,9,10,src/examples/am_gm_list.v,parcas,45,1,success,,1,1,0,,143,137,175899,165504,10395,11722,187621
19,10,10,src/examples/am_gm_list.v,parcas,45,1,success,,1,1,0,,429,423,1099453,1079936,19517,42764,1142217
32,1,10,src/examples/am_gm_list.v,parcas,4,1,success,,1,1,0,,38,33,27171,24704,2467,1221,28392
32,2,10,src/examples/am_gm_list.v,parcas,4,1,success,,1,1,0,,34,30,29985,27136,2849,943,30928
32,3,10,src/examples/am_gm_list.v,parcas,4,1,success,,1,1,0,,33,28,22077,20736,1341,880,22957
32,4,10,src/examples/am_gm_list.v,parcas,4,1,success,,1,1,0,,28,23,18333,17152,1181,649,18982
32,5,10,src/examples/am_gm_list.v,parcas,4,1,success,,1,1,0,,29,24,24151,22144,2007,593,24744
32,6,10,src/examples/am_gm_list.v,parcas,4,1,success,,1,1,0,,32,28,23218,21760,1458,1074,24292
32,7,10,src/examples/am_gm_list.v,parcas,4,1,success,,1,1,0,,46,41,24998,22528,2470,1518,26516
32,8,10,src/examples/am_gm_list.v,parcas,4,1,success,,1,1,0,,41,35,21764,18944,2820,843,22607
32,9,10,src/examples/am_gm_list.v,parcas,4,1,success,,1,1,0,,38,32,15870,14976,894,562,16432
