id,trial,repeats,target_coq_file,project,steps,success,outcome,outcome_detail,post_copy_make_ok,theorem_baseline_ok,theorem_modified,post_make_note,elapsed_seconds,agent_run_seconds,tokens_prompt,tokens_prompt_cache_hit,tokens_prompt_cache_miss,tokens_completion,tokens_total
2,1,10,src/examples/am_gm_list.v,parcas,3,1,success,,1,1,0,,24,22,54738,52992,1746,1301,56039
2,2,10,src/examples/am_gm_list.v,parcas,3,1,success,,1,1,0,,21,19,45103,38144,6959,1265,46368
2,3,10,src/examples/am_gm_list.v,parcas,3,1,success,,1,1,0,,19,18,44684,37888,6796,1140,45824
2,4,10,src/examples/am_gm_list.v,parcas,3,1,success,,1,1,0,,18,16,45006,37376,7630,888,45894
2,5,10,src/examples/am_gm_list.v,parcas,3,1,success,,1,1,0,,18,17,35364,28544,6820,1128,36492
2,6,10,src/examples/am_gm_list.v,parcas,3,1,success,,1,1,0,,16,14,34780,28032,6748,876,35656
2,7,10,src/examples/am_gm_list.v,parcas,3,1,success,,1,1,0,,19,18,44707,37888,6819,1185,45892
2,8,10,src/examples/am_gm_list.v,parcas,3,1,success,,1,1,0,,19,18,45434,38528,6906,1273,46707
2,9,10,src/examples/am_gm_list.v,parcas,3,1,success,,1,1,0,,22,21,45699,38784,6915,1551,47250
2,10,10,src/examples/am_gm_list.v,parcas,3,1,success,,1,1,0,,18,17,45596,38272,7324,1191,46787
4,1,10,src/examples/am_gm_list.v,parcas,9,1,success,,1,1,0,,40,38,55379,52992,2387,3225,58604
4,2,10,src/examples/am_gm_list.v,parcas,9,1,success,,1,1,0,,23,21,49130,41344,7786,1503,50633
4,3,10,src/examples/am_gm_list.v,parcas,9,1,success,,1,1,0,,78,77,328785,317824,10961,5814,334599
4,4,10,src/examples/am_gm_list.v,parcas,9,1,success,,1,1,0,,54,52,250780,238976,11804,4074,254854
4,5,10,src/examples/am_gm_list.v,parcas,9,1,success,,1,1,0,,36,35,124928,115712,9216,2643,127571
4,6,10,src/examples/am_gm_list.v,parcas,9,1,success,,1,1,0,,142,140,562454,548352,14102,12140,574594
4,7,10,src/examples/am_gm_list.v,parcas,9,1,success,,1,1,0,,31,30,96765,88064,8701,2155,98920
4,8,10,src/examples/am_gm_list.v,parcas,9,1,success,,1,1,0,,81,80,289889,278400,11489,6802,296691
4,9,10,src/examples/am_gm_list.v,parcas,9,1,success,,1,1,0,,119,117,544489,526208,18281,10240,554729
4,10,10,src/examples/am_gm_list.v,parcas,9,1,success,,1,1,0,,59,57,148306,139264,9042,4457,152763
19,1,10,src/examples/am_gm_list.v,parcas,45,1,success,,1,1,0,,404,399,1587765,1574784,12981,38461,1626226
19,2,10,src/examples/am_gm_list.v,parcas,45,1,success,,1,1,0,,131,126,370492,355840,14652,11417,381909
19,3,10,src/examples/am_gm_list.v,parcas,45,1,success,,1,1,0,,829,824,7616898,7578624,38274,82229,7699127
19,4,10,src/examples/am_gm_list.v,parcas,45,1,success,,1,1,0,,259,254,817198,799360,17838,28637,845835
19,5,10,src/examples/am_gm_list.v,parcas,45,1,success,,1,1,0,,275,269,512086,496640,15446,27918,540004
19,6,10,src/examples/am_gm_list.v,parcas,45,1,success,,1,1,0,,187,180,439106,423936,15170,17934,457040
19,7,10,src/examples/am_gm_list.v,parcas,45,1,success,,1,1,0,,781,774,5754375,5723776,30599,79579,5833954
19,8,10,src/examples/am_gm_list.v,parcas,45,1,success,,1,1,0,,661,656,2066152,2037248,28904,68266,2134418
19,9,10,src/examples/am_gm_list.v,parcas,45,1,success,,1,1,0,,366,360,1597676,1576576,21100,36640,1634316
19,10,10,src/examples/am_gm_list.v,parcas,45,1,success,,1,1,0,,63,57,166893,153472,13421,5509,172402
32,1,10,src/examples/am_gm_list.v,parcas,4,1,success,,1,1,0,,48,41,109232,98816,10416,3448,112680
32,2,10,src/examples/am_gm_list.v,parcas,4,1,success,,1,1,0,,29,23,102622,86144,16478,1565,104187
32,3,10,src/examples/am_gm_list.v,parcas,4,1,success,,1,1,0,,44,38,239677,222336,17341,2332,242009
