id,trial,repeats,target_coq_file,project,steps,success,outcome,outcome_detail,post_copy_make_ok,theorem_baseline_ok,theorem_modified,post_make_note,elapsed_seconds,agent_run_seconds,tokens_prompt,tokens_prompt_cache_hit,tokens_prompt_cache_miss,tokens_completion,tokens_total
65,1,10,theories/gridmap.v,fourcolor,3,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1855,1806,8843603,8842937,666,25674,10449212
65,2,10,theories/gridmap.v,fourcolor,3,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1855,1805,10232153,10231109,1044,29927,12139638
65,3,10,theories/gridmap.v,fourcolor,3,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1850,1806,8757768,8757108,660,25052,10484403
65,4,10,theories/gridmap.v,fourcolor,3,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1849,1805,11153213,11152199,1014,29242,12851121
65,5,10,theories/gridmap.v,fourcolor,3,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1856,1805,10026187,10025245,942,28692,11727880
65,6,10,theories/gridmap.v,fourcolor,3,0,theorem_modified,theorem modified,1,1,1,,1851,1805,10207555,10206811,744,23235,12018147
65,7,10,theories/gridmap.v,fourcolor,3,1,success,,1,1,0,,1528,1487,8059652,8058395,1257,26918,9738194
65,8,10,theories/gridmap.v,fourcolor,3,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1845,1804,8022260,8021528,732,27795,9071324
65,9,10,theories/gridmap.v,fourcolor,3,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1850,1805,9936639,9935823,816,25376,11312967
65,10,10,theories/gridmap.v,fourcolor,3,0,theorem_modified,theorem modified,1,1,1,,1847,1805,9583881,9583035,846,42355,11310109
124,1,10,backend/Locations.v,compcert,20,1,success,,1,1,0,,1215,1116,3211742,3210877,865,33554,4049678
124,2,10,backend/Locations.v,compcert,20,0,verify_make_failed,rc=2,1,1,0,,1392,1293,6062901,6061820,1081,58782,7152020
