id,trial,repeats,target_coq_file,project,steps,success,outcome,outcome_detail,post_copy_make_ok,theorem_baseline_ok,theorem_modified,post_make_note,elapsed_seconds,agent_run_seconds,tokens_prompt,tokens_prompt_cache_hit,tokens_prompt_cache_miss,tokens_completion,tokens_total
65,1,10,theories/gridmap.v,fourcolor,3,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1859,1800,18351610,,18351610,35125,18386735
65,2,10,theories/gridmap.v,fourcolor,3,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1842,1800,22818436,,22818436,49406,22867842
65,3,10,theories/gridmap.v,fourcolor,3,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1845,1800,19925013,,19925013,32700,19957713
65,4,10,theories/gridmap.v,fourcolor,3,0,verify_make_failed,rc=2,1,1,0,,1179,1129,10542170,,10542170,30973,10573143
65,5,10,theories/gridmap.v,fourcolor,3,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1845,1800,18595454,,18595454,50934,18646388
65,6,10,theories/gridmap.v,fourcolor,3,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1865,1800,4486888,,4486888,15791,4502679
65,7,10,theories/gridmap.v,fourcolor,3,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1840,1800,22009204,,22009204,49125,22058329
65,8,10,theories/gridmap.v,fourcolor,3,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1839,1800,23149352,,23149352,30168,23179520
65,9,10,theories/gridmap.v,fourcolor,3,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1841,1800,13458378,,13458378,27565,13485943
65,10,10,theories/gridmap.v,fourcolor,3,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1841,1800,19841884,,19841884,44528,19886412
124,1,10,backend/Locations.v,compcert,20,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1913,1800,12981595,,12981595,57623,13039218
124,2,10,backend/Locations.v,compcert,20,0,verify_make_failed,rc=2,1,1,0,,1073,980,10005573,,10005573,41005,10046578
124,3,10,backend/Locations.v,compcert,20,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1890,1800,13208616,,13208616,82837,13291453
124,4,10,backend/Locations.v,compcert,20,0,verify_make_failed,rc=2,1,1,0,,758,678,3508360,,3508360,56080,3564440
124,5,10,backend/Locations.v,compcert,20,0,verify_make_failed,rc=2,1,1,0,,628,540,3872929,,3872929,26910,3899839
124,6,10,backend/Locations.v,compcert,20,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1886,1800,4447153,,4447153,29114,4476267
124,7,10,backend/Locations.v,compcert,20,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1879,1801,12357851,,12357851,86866,12444717
124,8,10,backend/Locations.v,compcert,20,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1880,1801,11069815,,11069815,46548,11116363
124,9,10,backend/Locations.v,compcert,20,0,verify_make_failed,rc=2,1,1,0,,940,860,4449115,,4449115,51169,4500284
124,10,10,backend/Locations.v,compcert,20,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1878,1801,11761414,,11761414,85209,11846623
175,1,10,flocq/IEEE754/Binary.v,compcert,24,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1831,1800,18711575,,18711575,56159,18767734
175,2,10,flocq/IEEE754/Binary.v,compcert,24,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1824,1800,14443862,,14443862,85278,14529140
175,3,10,flocq/IEEE754/Binary.v,compcert,24,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1824,1800,13662795,,13662795,74867,13737662
175,4,10,flocq/IEEE754/Binary.v,compcert,24,0,verify_make_failed,rc=2,1,1,0,,239,212,1521841,,1521841,15533,1537374
175,5,10,flocq/IEEE754/Binary.v,compcert,24,0,verify_make_failed,rc=2,1,1,0,,525,499,3954790,,3954790,34347,3989137
175,6,10,flocq/IEEE754/Binary.v,compcert,24,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1826,1800,16594289,,16594289,71921,16666210
175,7,10,flocq/IEEE754/Binary.v,compcert,24,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1837,1800,5914105,,5914105,61680,5975785
175,8,10,flocq/IEEE754/Binary.v,compcert,24,0,verify_make_failed,rc=2,1,1,0,,1612,1589,10423726,,10423726,100423,10524149
175,9,10,flocq/IEEE754/Binary.v,compcert,24,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1823,1800,12969984,,12969984,102142,13072126
175,10,10,flocq/IEEE754/Binary.v,compcert,24,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1823,1800,13222550,,13222550,65227,13287777
221,1,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,247,242,1825429,,1825429,13133,1838562
221,2,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,39,33,196366,,196366,1934,198300
221,3,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,32,26,161345,,161345,1630,162975
221,4,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,70,64,434271,,434271,3512,437783
221,5,10,theories/POrder.v,buchberger,3,0,theorem_modified,theorem modified,1,1,1,,1805,1797,17812082,,17812082,73377,17885459
221,6,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,19,13,63894,,63894,750,64644
221,7,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,73,68,598318,,598318,4741,603059
221,8,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,54,49,457498,,457498,2279,459777
221,9,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,57,52,421825,,421825,2901,424726
221,10,10,theories/POrder.v,buchberger,3,1,success,,1,1,0,,94,88,863365,,863365,4080,867445
270,1,10,backend/Unusedglobproof.v,compcert,8,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1919,1800,19690959,,19690959,43964,19734923
270,2,10,backend/Unusedglobproof.v,compcert,8,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1895,1800,18142992,,18142992,35865,18178857
270,3,10,backend/Unusedglobproof.v,compcert,8,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1889,1800,15979257,,15979257,63448,16042705
270,4,10,backend/Unusedglobproof.v,compcert,8,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1886,1800,22647216,,22647216,31354,22678570
270,5,10,backend/Unusedglobproof.v,compcert,8,0,verify_make_failed,rc=2,1,1,0,,961,834,6483761,,6483761,32930,6516691
270,6,10,backend/Unusedglobproof.v,compcert,8,0,skip_keyword,backend/Unusedglobproof.v,1,1,0,,1348,1264,9963834,,9963834,43938,10007772
270,7,10,backend/Unusedglobproof.v,compcert,8,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1885,1801,15305555,,15305555,75234,15380789
270,8,10,backend/Unusedglobproof.v,compcert,8,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1887,1801,8489112,,8489112,38987,8528099
